RDS KEY ,PISTOL 22 ,PISTOL 25 ,PISTOL 32 ,PISTOL 380 ,PISTOL 9MM ,PISTOL 50 ,PISTOL TOTAL
99200039,0,0,0,0,0,1,1
16336720,0,0,1550,6600,0,0,8150
16363645,0,0,0,3076,0,0,3076
57134716,6,0,0,0,3,1309,1318
98638393,0,0,0,0,0,237,237
98638387,0,2065,0,0,0,0,2065
98633332,2,1,4,2,0,5,14
98638161,0,0,0,0,0,61957,61957
98614472,86429,0,0,0,94433,52736,233598
93334014,16033,13367,3288,46406,37570,0,116664
93322226,6120,276,5078,15868,1381,0,28723
93340195,0,0,0,0,107,392,499
93335296,416,0,0,0,0,0,416
93340727,0,0,10,202,118,0,330
93340235,11,0,0,0,0,0,11
93340867,0,0,0,8500,0,0,8500
93336988,18125,3459,0,0,0,0,21584
93340518,0,0,0,0,0,733,733
60633345,1,0,0,5465,885,20119,26470
60604862,0,0,2577,1,0,0,2578
60635829,0,0,0,0,0,63,63
15941170,0,0,0,0,300,40,340
15940806,0,0,22699,5,13099,6644,42447
15923596,7326,3460,0,0,0,0,10786
15840177,0,0,0,0,19,306,325
54235453,223,0,0,0,0,0,223
33635626,0,0,0,1,0,9,10
33635343,0,0,0,0,93,2160,2253
33637004,0,0,0,1,1,142,144
33635798,0,0,0,3,292,22726,23021
