RDS KEY ,PISTOL 22 ,PISTOL 25 ,PISTOL 32 ,PISTOL 380 ,PISTOL 9MM ,PISTOL 50 ,PISTOL TOTAL
54835734,0,0,0,0,0,1,1
57237251,0,0,0,0,0,2,2
57233690,25,0,0,0,6,14,45
60435456,0,0,0,0,5495,1844,7339
60433152,1272,0,285,246,0,0,1803
60410395,0,0,0,0,37042,32973,70015
85207699,8750,81,16051,0,46722,18928,90532
60106460,18456,0,0,1935,0,0,20391
34137259,11,2,19,5,0,0,37
54339122,0,0,0,0,0,88,88
54339397,0,0,0,0,0,1,1
98135543,0,0,0,3234,2158,0,5392
15639696,0,0,0,0,0,2,2
15640982,8,5,0,0,0,0,13
54734146,0,0,0,0,2,12,14
60234248,12,8,22,0,0,8,50
60233754,1416,466,3269,0,417,3761,9329
98835469,0,0,0,0,2,0,2
98835513,0,0,0,0,0,3699,3699
61334276,0,0,0,0,0,49075,49075
61636016,0,0,0,0,0,268,268
43435702,0,0,0,16050,33620,0,49670
43419291,0,0,0,0,0,7790,7790
43434316,0,0,0,0,0,4790,4790
43436235,0,1,8,6,0,2,17
43437065,1,0,0,0,0,0,1
43111589,3,1,17,4,0,0,25
57336522,0,0,0,0,96,160,256
15710236,0,0,0,0,0,833,833
34634154,811,0,0,400,5,318,1534
34633475,9,6,15,7,0,0,37
