RDS KEY ,RVLR 22 ,RVLR 32 ,RVLR 357 ,RVLR 38 ,RVLR 44 ,RVLR 50 ,RVLR TOTL 
57134716,0,0,17,0,0,0,17
93340558,0,0,0,5,3,1,9
60635936,0,0,150,6069,1751,0,7970
60633345,0,0,813,386,1320,6424,8943
60635732,0,7,0,49,49,589,694
15900566,0,22,672,0,203,2536,3433
15941170,23830,0,0,0,0,0,23830
57233690,0,0,0,2,0,0,2
60410395,8645,136,47895,50729,19639,3543,130587
60201484,19375,1422,31248,2099,23458,34511,112113
61636016,39,11,152,0,362,62,626
34634039,168,0,0,0,0,721,889
16238654,0,0,0,0,0,705,705
16238596,0,0,0,0,0,504,504
98734026,27326,0,0,0,0,0,27326
33937486,0,0,0,0,0,7,7
58300047,64,0,0,0,0,0,64
58303091,25,0,70,0,146,1000,1241
