RDS KEY ,LICENSE NAME ,STREET ,CITY ,ST ,SHOTGUN MFG
57134716 ,WILSONS GUN SHOP INC ,2234 CR 719 ,BERRYVILLE ,AR ,627
98636542 ,,21438 N 7TH AVE SUITE B ,PHOENIX ,AZ ,1
93319318 ,,3417 HANCOCK ST ,SAN DIEGO ,CA ,4
97738092 ,ROGUE RIV RIFLEWORKS INC/JOHN RIBGY & CO ,500 LINNE RD STE D ,PASO ROBLES ,CA ,1
58400402 ,DENVER 45 LLC ,18757 E HAMPDEN AVE #162 ,AURORA ,CO ,
60634862 ,CONNECTICUT SHOTGUN MANUFACTURING CO ,35 WOODLAND ST ,NEW BRITAIN ,CT ,64
60600773 ,0 F MOSSBERG & SONS INC ,7 GRASSO AVE ,NORTH HAVEN ,CT ,168733
60636056 ,US REPEATING ARMS COMPANY ,344 WINCHESTER AVE ,NEW HAVEN ,CT ,46361
15984505 ,,BLDG 6 UNIT 3 170 CELESTIAL WAY ,JUNO BCH ,FL ,
15948427 ,GREY GOOSE GUNSMITHING INC ,1532 SE VILLAGE GREEN DR #B ,PORT SAINT LUCIE ,FL ,1
15946787 ,SERBU FIREARMS INC ,6001 JOHNS RD #144 ,TAMPA ,FL ,5
15947683 ,,RT 14 BOX 305-2 ,LAKE CITY ,FL ,1
98235118 ,EVOLUTION INC ,RT 2 BOX 763-L ,GRANGEVILLE ,ID ,2
33635798 ,SPRINGFIELD INC ,420 W MAIN ST ,GENESEO ,IL ,297
54800246 ,VERNEY-CARRON USA INC ,320 COURT ST ,CLAY CENTER ,KS ,1822
46100880 ,L-3 COMMUNICATIONS INTEGRATED SYSTEMS LP ,5749 BRIAR HILL ROAD ,LEXINGTON ,KY ,
60400253 ,,60 INDUSTRIAL ROWE ,GARDNER ,MA ,140758
60433152 ,,100 SPRINGDALE RD ,WESTFIELD ,MA ,2290
43843508 ,,2249 HIDDEN VALLEY DR ,HOWELL ,MI ,1
43801839 ,,18995 174TH AVE ,SPRING LAKE ,MI ,
54338023 ,ALFERMANN USA INC ,1482 POTTERY RD ,WASHINGTON ,MO ,32
54339971 ,,352 COPPER LAKES BLVD ,GROVER ,MO ,1
54700082 ,,724 E 15TH ST ,SOUTH SIOUX CITY ,NE ,2
60201484 ,STURM RUGER & CO INC ,411 SUNAPEE ST ,NEWPORT ,NH ,7740
61635833 ,ITHACA GUN PARTS & SERVICE CORPORATION ,891 ROUTE 34B ,KINGS FERRY ,NY ,2729
61635527 ,,14 HOEFLER AVE ,ILION ,NY ,276116
61600095 ,S R LAMBOY AND CO INC ,5 RAILROAD ST ,VICTOR ,NY ,128
99335096 ,COLE ARMS INC ,2225 PINEHURST DR ,MCMINNVILLE ,0R ,4
99337203 ,LOOCK MANUFACTURING CO INC ,21210 SW JOHNSON ST ,ALOHA ,0R ,2
82333855 ,TAR HUNT CUSTOM RIFLES INC ,101 DOGTOWN RD ,BLOOMSBURG ,PA ,12
34606531 ,DAKOTA ARMS INC ,1310 INDUSTRY RD ,STURGIS ,SD ,9
34633475 ,H S PRECISION INC ,1301 TURBINE DR ,RAPID CITY ,SD ,16
16200523 ,LEINAD INC ,221 HWY 68 N ,DUCKTOWN ,TN ,640
57534781 ,,10938 FM 19 ,FRANKSTON ,TX ,4
57434208 ,,INDUSTRIAL BLVD MAVERICK CO DEVLPT ,EAGLE PASS ,TX ,31256


