16337359 ,,,
57134716 ,WILSONS GUN SHOP INC ,2234 CR 719 ,BERRYVILLE
98636542 ,,21438 N 7TH AVE SUITE B ,PHOENIX
97738092 ,ROGUE RIV RIFLEWORKS INC/JOHN RIBGY & CO ,500 LINNE RD STE D ,PASO ROBLES
60634862 ,CONNECTICUT SHOTGUN MANUFACTURING CO ,,
60600252 ,,100 KENNA DR ,NORTH HAVEN
60600773 ,0 F MOSSBERG & SONS INC ,,
60636056 ,US REPEATING ARMS COMPANY ,344 WINCHESTER AVE ,NEW HAVEN
15939580 ,,3300 SAINT JAMES AVE ,DELTONA
33635798 ,SPRINGFIELD INC ,,
43501246 ,D G N ENTERPRISES INC ,7270 HALL SCHOOL ROAD ,MARTINSVILLE
46100680 ,,,
60400253 ,,60 INDUSTRIAL ROWE ,GARDNER
60433152 ,,,
85234687 ,AIM INC ,19200 MIDDLETOWN RD ,PARKTON
85207699 ,BERETTA U S A CORPORATION ,,
54338023 ,ALFERMANN USA INC ,1482 POTTERY RD ,WASHINGTON
16400400 ,,,
54700082 ,,724 E 15TH ST ,SOUTH SIOUX
60201484 ,,,
82200281 ,GRIFFIN & HOWE INC ,33 CLAREMONT RD ,BERNARDSVILLE
61435045 ,CAMBRIDGE VALLEY MACHINING INC ,,
61635833 ,ITHACA GUN PARTS & SERVICE CORPORATION ,,
61635527 ,,14 HOEFLER AVE ,ILION
43400683 ,,13101 SR 15 ,0TTAWA
99300756 ,,,
99335096 ,COLE ARMS INC ,2225 PINEHURST DR ,MCMINNVILLE
99337203 ,LOOCK MANUFACTURING CO INC ,,
82333855 ,TAR HUNT CUSTOM RIFLES INC ,101 DOGTOWN RD ,BLOOMSBURG
34606531 ,DAKOTA ARMS INC ,,
34633475 ,H S PRECISION INC ,1301 TURBINE DR ,RAPID CITY
16200523 ,LEINAD INC ,,
57401590 ,DAWSON PRECISION INC ,3300 CR 233 ,FLORENCE
57438715 ,ENGEL BALLISTIC RESEARCH INC ,,
57434208 ,,INDUSTRIAL BLVD MAVERICK CO DEVLPT PARK ,EAGLE PASS


Table
STREET ,CITY ,ST ,SHOTGUN MFG
1147 GADSDEN HWY ,BIRMINGHAM ,AL ,1
,,AR ,530
,,AZ ,16
,,CA ,4
35 WOODLAND ST ,NEW BRITAIN ,CT ,123
,,CT ,4783
7 GRASSO AVE ,NORTH HAVEN ,CT ,178931
,,CT ,42650
,,FL ,
420 W MAIN ST ,GENESEO ,IL ,4412
,,IN ,2
2217 WAGONER RD ,CALIFORNIA ,KY ,1
,,MA ,114044
100 SPRINGDALE RD ,WESTFIELD ,MA ,4666
,,MD ,89
17601 BERETTA DR ,ACCOKEEK ,MD ,3679
,,MO ,22
169 PLANTERS GROVE ,RIDGELAND ,MS ,
,CITY ,NE ,1
411 SUNAPEE ST ,NEWPORT ,NH ,4538
,,NJ ,3
PERRY LANE ,CAMBRIDGE ,NY ,42
891 ROUTE 34B ,KINGS FERRY ,NY ,5514
,,NY ,300399
,,0H ,1
548 MENLO DR N ,KEIZER ,0R ,3
,,0R ,1
21210 SW JOHNSON ST ,ALOHA ,0R ,1
,,PA ,63
1310 INDUSTRY RD ,STURGIS ,SD ,1
,,SD ,35
221 HWY 68 N ,DUCKTOWN ,TN ,320
,,TX ,
544A ALUM CREEK RD ,SMITHVILLE ,TX ,1
,,TX ,61084


