KEY ,LICENSE NAME ,STREET ,CITY ,ST ,PISTOL 22 ,PISTOL 25 ,PISTOL 32 ,PISTOL 380 ,PISTOL 9MM ,PISTOL 50 ,PISTOL TOTAL
16238797 ,,211 CEMETERY AVE ,COLUMBIA ,TN ,1 ,0 ,0 ,0 ,0 ,3 ,4
16201563 ,,3550 PAPERMILL DR ,KNOXVILLE ,TN ,0 ,0 ,0 ,0 ,2 ,1 ,3
57421953 ,AMERICAN DERRINGER CORP ,127 N LACY DR ,WACO ,TX ,5 ,3 ,2 ,40 ,13 ,67 ,130
57637697 ,ARSENAL USA I. LLC ,,HOUSTON ,TX ,0 ,0 ,46 ,0 ,0 ,0 ,46
57541153 ,BOND ARMS INC ,204 ALPHA LN ,GRANBURY ,TX ,9 ,0 ,13 ,0 ,438 ,4583 ,5043
57634159 ,BRILEY MANUFACTURING INC ,1230 LUMPKIN ,HOUSTON ,TX ,0 ,0 ,0 ,0 ,0 ,9 ,9
57401590 ,DAWSON PRECISION INC ,3300 CR 233 ,FLORENCE ,TX ,0 ,0 ,0 ,0 ,5 ,29 ,34
57600160 ,FIREARMS INTERNATIONAL INC ,5200 MITCHELLDALE #E17 ,HOUSTON ,TX ,0 ,0 ,0 ,0 ,2 ,43 ,45
57502763 ,,1104 JERICHO CT ,KELLER ,TX ,0 ,0 ,0 ,0 ,0 ,6 ,6
57636527 ,HIGH STANDARD MANUFACTURING CO INC ,5200 MITCHELLDALE #E17 ,HOUSTON ,TX ,74 ,0 ,0 ,0 ,0 ,0 ,74
57501532 ,,3401 W PIONEER DRIVE #2 ,IRVING ,TX ,0 ,0 ,0 ,0 ,0 ,1 ,1
57502754 ,,411 BEDFORDEULESS RD ,HURST ,TX ,0 ,0 ,0 ,0 ,0 ,13 ,13
57501654 ,,21852 FM 449 SUITE A ,LONGVIEW ,TX ,1 ,0 ,75 ,0 ,0 ,0 ,76
57434417 ,,114 HALMAR COVE ,GEORGETOWN ,TX ,0 ,0 ,0 ,0 ,555 ,6069 ,6624
57540601 ,STRAYER VOIGT INC ,3435 ROY ORR BLVD #200 ,GRAND PRARIE ,TX ,0 ,0 ,0 ,0 ,100 ,211 ,311
57502590 ,WISE LITE ARMS INC ,903 S ALLEN ,BOYD ,TX ,0 ,0 ,131 ,0 ,72 ,0 ,203
98787363 ,ARMS TECHNOLOGY INC ,2779 DIRECTORS ROW ,SALT LAKE CITY ,UT ,19320 ,0 ,0 ,0 ,0 ,0 ,19320
98700222 ,COBRA ENTERPRISES OF UTAH INC ,1960 MILESTONE DR STE F ,SALT LAKE CITY ,UT ,4716 ,459 ,3701 ,14140 ,2339 ,453 ,25808
98734026 ,NORTH AMERICAN ARMS INC ,2150 S 950 E ,PROVO ,UT ,0 ,11 ,434 ,1449 ,0 ,0 ,1894
98700368 ,VECTOR ARMS INC ,270 W 500 NO ,NORTH SALT LAKE ,UT ,0 ,31 ,119 ,0 ,2 ,1 ,153
15401410 ,,11465 CREST HILL RD ,MARSHALL ,VA ,0 ,0 ,0 ,0 ,2 ,0 ,2
60300037 ,CASPIAN ARMS LTD ,75 CAL FOSTER DR ,WOLCOTT ,VT ,0 ,0 ,0 ,0 ,0 ,2165 ,2165
60300038 ,FOSTER INDUSTRIES INC ,75 CAL FOSTER DR ,WOLCOTT ,VT ,0 ,0 ,0 ,0 ,0 ,90 ,90
60306096 ,SQUIRES BINGHAM INTL INC ,190 JUNCTION RD ,HARDWICK ,VT ,0 ,0 ,0 ,0 ,0 ,904 ,904
99101536 ,GREENLIGHT ARMS INC ,4659 SE MULLENIX RD ,PORT ORCHARD ,WA ,0 ,0 ,0 ,0 ,0 ,1 ,1
99137453 ,,75B ABBOTT RD ,ELMA ,WA ,0 ,0 ,0 ,0 ,0 ,8 ,8
99114520 ,0LYMPIC ARMS INC ,624 OLD PACIFIC HWY SE ,0LYMPIA ,WA ,329 ,0 ,0 ,0 ,0 ,120 ,449
99100986 ,SNS INDUSTRIES INC ,10304 A 99TH AVE SE ,SNOHOMISH ,WA ,0 ,0 ,0 ,0 ,0 ,36 ,36
33901982 ,GARY'S GUNS INC ,W 226 N 1455 NORTH AVENUE ,WAUKESHA ,WI ,0 ,0 ,8 ,0 ,0 ,0 ,8
33900697 ,,3601 129TH ST ,CHIPPEWA ,WI ,0 ,4 ,0 ,0 ,0 ,196 ,200


