46101973 ,REMINGTON ARMS CO INC ,22 RIFLE TRAIL ,HICKORY ,KY ,122149 #
60411509 ,,622 BROADWAY ,SAUGUS ,MA ,28
60401275 ,,24 PALMER RD ,PLYMPTON ,MA ,18
60402342 ,,47 SUMMER ST ,NATICK ,MA ,1
60435456 ,,130 GODDARD MEMORIAL DR ,WORCESTER ,MA ,9237
60433152 ,,100 SPRINGDALE RD ,WESTFIELD ,MA ,116089
60402299 ,,7 RENKER DR ,EASTON ,MA ,3
60401684 ,SMITH & WESSON CORP ,2100 ROOSEVELT AVE ,SPRINGFIELD ,MA ,38372
60401163 ,TAUGWANK SPUR CORP ,1670 MAIN ST ,AGAWAM ,MA ,21
60436644 ,YANKEE HILL MACHINE CO INC ,20 LADD AVE STE 1 ,FLORENCE ,MA ,837
60436463 ,,1958 WES WHITEHILL ROAD ,BERNARDSTON ,MA ,130
85202525 ,GOVERNMENT INITIATIVES INC ,116 SPIDER WEB RD ,CENTREVILLE ,MD ,3
85202227 ,JAMES RIVER MANUFACTURING INC ,3601 COMMERCE DR STE 110 ,BALTIMORE ,MD ,43
85202358 ,LWRC INTERNATIONAL LLC ,815 CHESAPEAKE DRIVE ,CAMBRIDGE ,MD ,2749
85211500 ,,8725 BOLLMAN PLACE #1 ,SAVAGE ,MD ,242
85236725 ,,5423 RIDGE RD ,MOUNT AIRY ,MD ,4
60100956 ,BUSHMASTER FIREARMS INTERNATIONAL LLC ,999 ROOSEVELT TRL ,WINDHAM ,ME ,83036
60101168 ,,92 TUTTLE RD ,CUMBERLAND ,ME ,5
60101041 ,,18 LITHGOW ST ,WINSLOW ,ME ,2
60100848 ,MG INDUSTRIES INC ,102B COTTAGE ST ,BANGOR ,ME ,178
60101137 ,NORTHEAST ARMS LLC ,328 MAIN ST ,FORT FAIRFIELD ,ME ,1
60101351 ,WEAPONCRAFT LLC ,84R COVE STREET ,PORTLAND ,ME ,23
43804221 ,BALLARD RIFLE & CARTRIDGE CO ,9562 SAND LAKE HWY ,0NSTED ,MI ,6 #
43813395 ,FALLING BLOCK WORKS INC ,6121 ZINK RD ,MAYBEE ,MI ,2
43842898 ,,14236 BARNES RD ,BYRON ,MI ,1
43803198 ,KAMPFELD CUSTOM INC ,12846 CLINTON RD ,CLINTON ,MI ,2
43803949 ,,A-4502 144TH AVE ,HOLLAND ,MI ,1
43800250 ,PIERCE ENGINEERING LTD ,5122 N GRAND RIVER ,LANSING ,MI ,55
43804312 ,,7524 LINCOLN AVE ,BARODA ,MI ,1
34134102 ,AFT ,2033 105TH AVE NE ,BLAINE ,MN ,1
34101337 ,ATEK PRODUCTS LLC ,210 NE 10TH AVE ,BRAINERD ,MN ,8395
34135232 ,DEFENSE PROCUREMENT MFG SERVICES INC ,3312 12TH ST SE ,ST CLOUD ,MN ,254
34100358 ,DICKS GUNSMITHING INC ,25791 DODD BLVD ,LAKEVILLE ,MN ,1


