RDS KEY ,LICENSE NAME ,STREEI ,CITY ,ST ,MISC FA MFG
43803320 ,INNOVATIVE INDUSTRIES LLC ,21493 RYAN RD ,WARREN ,MI ,1
34134102 ,AFT ,2033 105TH AVE NE ,BLAINE ,MN ,1
34102156 ,,5491 FENIAN COURT ,NORTH BRANCH ,MN ,89
34101861 ,NODAK SPUD LLC ,7683 WASHINGTON AVE S ,EDINA ,MN ,7131
54301691 ,ARNOLD DEFENSE AND ELECTRONICS LLC ,3000 ARNOLD TENBROOK RD ,ARNOLD ,MO ,174
54340380 ,,11150 PROGRESS ST ,MOUNT VERNON ,MO ,233
16401275 ,BAE SYSTEMS RO DEFENSE INC ,48 RAWL SPRINGS LOOP RD ,HATTIESBURG ,MS ,158
16401380 ,,10800 CHURCH RD ,WALLS ,MS ,62
98100867 ,,905 CIMARRON TRAIL ,ELLISTON ,MT ,13
98101151 ,MONTANA RIFLE COMPANY ,3174 MT HWY 35 ,KALISPELL ,MT ,491
98100944 ,PHOENIX MACHINE TECHNOLOGIES LLC ,,COLUMBIA FALLS ,MT ,141
15603066 ,APPALACHIAN GUNSMITHING INC ,8 SNAPFINGER DR ,WEAVERVILLE ,NC ,5
15601287 ,CJK FARMS INC ,194 BUNCOMBE HILL LN ,MOUNT OLIVE ,NC ,4
54700848 ,PRO SOLUTIONS INC ,3120 NORTH 33RD SUITE 1 ,LINCOLN ,NE ,3
60234248 ,COMPETITOR CORP INC ,,JAFFREY ,NH ,2
43134110 ,AMERICAN APEX CORPORATION ,8515 RAUSCH DRIVE ,PLAIN CITY ,0H ,91
43111952 ,,4325 NEW MARKET-BANTA RD ,LEWISBURG ,0H ,6
43401379 ,,798 WEST TURKEYFOOT LAKE RD ,AKRON ,0H ,1
43402335 ,,2806 RTE 307 ,AUSTINBURG ,0H ,11
43401968 ,,556 CALDWELL AVE ,MANSFIELD ,0H ,149
43436989 ,,1455 LOWELL STREET (REAR) ,ELYRIA ,0H ,2
57300840 ,,1301 S 13TH ,BLACKWELL ,0K ,1
57302004 ,BRIGADOON INC ,1805 S SUNNYLANE RD ,DEL CITY ,0K ,3
99301728 ,HALO MANUFACTURING LLC ,90785 LINK ROAD ,EUGENE ,0R ,25
99301427 ,TITAN ORDNANCE LLC ,21017 NW MILLICOMO COURT ,PORTLAND ,0R ,17
99301937 ,TORNADO TECHNOLOGIES LLC ,2020 NW ALOCLEK DR STE 106 ,HILLSBORO ,0R ,5
82338992 ,,1325 SHELDON HILL ROAD ,SPRINGVILLE ,PA ,192
82510414 ,,65 WILLOCK RD ,FREDERICKTOWN ,PA ,3 #
34600598 ,,1310 INDUSTRY RD ,STURGIS ,SD ,183
16203373 ,DUNCAN WARREN THOMAS ,2160 SOUTH LEE HWY ,CLEVELAND ,TN ,19
57401107 ,HOLDINGS INC ,5526 LEOPARD STR ,CORPUS CHRISTI ,TX ,47
57503595 ,,204 ALPHA LANE ,GRANBURY ,TX ,65
57401220 ,,1904 N FM 1069 ,ARANSAS PASS ,TX ,109
57501894 ,,4219 W CO RD N ,0DESSA ,TX ,59
57434208 ,,INDUSTRIAL BLVD MAVERICK CO DEVLPT ,EAGLE PASS ,TX ,44305


