RDS KEY ,LICENSE NAME ,,STREEI ,CITY ,ST ,MISC FA MFG
15601231 ,,,1001 W B MCLEAN BLVD ,CAPE CARTERET ,NC ,3
60234248 ,COMPETITOR CORP INC ,,,JAFFREY ,NH ,1
43134110 ,AMERICAN APEX CORPORATION ,,8515 RAUSCH DRIVE ,PLAIN CITY ,0H ,100
43111952 ,,,4325 NEW MARKET-BANTA RD ,LEWISBURG ,0H ,2
43102214 ,GUN WORKS NOW LLC ,,13827 MARSHALL RD ,ROCKBRIDGE ,0H ,5
43437065 ,KELBLY'S RIFLE RANGE INC ,,7222 DALTON FOX LAKE RD ,NORTH LAWRENCE ,0H ,193
43401968 ,,,556 CALDWELL AVE ,MANSFIELD ,0H ,58
43483421 ,,,5416 DETROIT AVE ,CLEVELAND ,0H ,750
43437008 ,,,6188 CASTLE DRIVE ,NORTH ROYALTON ,0H ,2
43401317 ,VALLEY ENGRAVING LLC ,,46390 STATE ROUTE 536 ,WOODSFIELD ,0H ,32
57336993 ,,,69400 E HWY 60 ,WYANDOTTE ,0K ,233
57302947 ,,,402 ASH RD ,CHOCTAW ,0K ,7
57302942 ,RIJAS SERVICES LLC ,,10204 E 450 RD ,CLAREMORE ,0K ,14
57301293 ,SURGEON RIFLES INCORPORATED ,,48955 MOCCASIN TRAIL RD ,PRAGUE ,0K ,695
99302007 ,ARMS LLC ,,13313 EHLEN RD NE ,AURORA ,0R ,19
99302084 ,BARTLETT ENTERPRISES INC ,,1900 NE 25TH AVE 11 ,HILLSBORO ,0R ,355
99301728 ,HALO MANUFACTURING LLC ,,90785 LINK ROAD ,EUGENE ,0R ,51
99301738 ,,,625 NW BAY BLVD UNIT 5 ,TOLEDO ,0R ,201
99301427 ,TITAN ORDNANCE LLC ,,21017 NW MILLICOMO COURT ,PORTLAND ,0R ,95
82338992 ,,,1325 SHELDON HILL ROAD ,SPRINGVILLE ,PA ,233
82303888 ,LANCO TACTICAL LLC ,,495 MARK DR ,ELIZABETHTOWN ,PA ,5
82502536 ,,,1 BOLIVAR ST ,BROWNSVILLE ,PA ,4
82502999 ,XTREME MACHINING LLC ,,6506 KYLERTOWN DRIFTING HWY ,DRIFTING ,PA ,3625
82501703 ,,,500 COOPER AV ,GRASSFLAT ,PA ,3625
16204086 ,JAMES LYLE GRAHAM ,,995 MOHAWK CREEK RD ,MIDWAY ,TN ,308
16238797 ,,,211 CEMETERY AVE ,COLUMBIA ,TN ,16
57602340 ,BLACK RIFLE COMPANY LLC ,,7131 JACKRABBIT RD ,HOUSTON ,TX ,86
57503595 ,,,204 ALPHA LANE ,GRANBURY ,TX ,98
57501894 ,,,4219 W CO RD N ,0DESSA ,TX ,89
57434208 ,,,INDUSTRIAL BLVD MAVERICK CO DEVLPT PARK ,EAGLE PASS ,TX ,61962
57602035 ,,,1919 MAPLETON ST ,HOUSTON ,TX ,3
57541806 ,STILLERS PRECISION FIREARMS LLC ,,2405 COUNTRY MEADOW LN ,WYLIE ,TX ,1526
57402906 ,,,1648 PALO ALTO DR ,VON ORMY ,TX ,551
98700368 ,VECTOR ARMS INC ,,270 W 500 NO ,NORTH SALT LAKE ,UT ,214
15406473 ,CAN CORP LLC ,,9183 JOHN S MOSBY HIGHWAY ,UPPERVILLE ,VA ,1


