MISC FA EXP,2002,43437450 BALOGH JAMES 13566 INDIAN HOLLOW RD GRAFTON OH 21
MISC FA EXP,2003,43437450 BALOGH JAMES 13566 INDIAN HOLLOW RD GRAFTON OH 12
MISC FA EXP,2005,43437450 BALOGH JAMES 13566 INDIAN HOLLOW GRAFTON OH 0 4 0 0 4
MISC FA EXP,2005,43437450 BALOGH JAMES 13566 |ND|AN HOLLOW RD GRAFTON OH 52
MISC FA EXP,2006,43437450 BALOGH JAMES 13566 INDIAN HOLLOW GRAFTON OH 0 2 0 0 2
MISC FA EXP,2006,43437450 BALOGH JAMES 13566 |ND|AN HOLLOW RD GRAFTON OH 171
MISC FA EXP,2007,43437450 JAMES BALOGH, INC 13566 |ND|AN HOLLOW RD GRAFTON OH 91
MISC FA EXP,2008,43437450 JAMES BALOGH, INC 13566 |ND|AN HOLLOW RD GRAFTON OH 90
MISC FA EXP,2009,43437450 JAMES BALOGH, INC 13566 |ND|AN HOLLOW RD GRAFTON OH 11
MISC FA EXP,2010,43437450 JAMES BALOGH, INC 13566 INDIAN HOLLOW RD GRAFTON OH 3
MISC FA EXP,2011,43437450 JAMES BALOGH, INC 13566 INDIAN HOLLOW RD GRAFTON OH 6
MISC FA EXP,2012,43437450 JAMES BALOGH, INC 13566 INDIAN HOLLOW RD GRAFTON OH 6
MISC FA MFG,2002,43437450 BALOGH JAMES 13566 INDIAN HOLLOW RD GRAFTON OH 21
MISC FA MFG,2003,43437450 BALOGH JAMES 13566 INDIAN HOLLOW RD GRAFTON OH 12
MISC FA MFG,2005,43437450 BALOGH JAMES 13566 INDIAN HOLLOW GRAFTON OH 0 4 0 0 4
MISC FA MFG,2005,43437450 BALOGH JAMES 13566 |ND|AN HOLLOW RD GRAFTON OH 52
MISC FA MFG,2006,43437450 BALOGH JAMES 13566 INDIAN HOLLOW GRAFTON OH 0 2 0 0 2
MISC FA MFG,2006,43437450 BALOGH JAMES 13566 |ND|AN HOLLOW RD GRAFTON OH 171
MISC FA MFG,2007,43437450 JAMES BALOGH, INC 13566 |ND|AN HOLLOW RD GRAFTON OH 91
MISC FA MFG,2008,43437450 JAMES BALOGH, INC 13566 |ND|AN HOLLOW RD GRAFTON OH 90
MISC FA MFG,2009,43437450 JAMES BALOGH, INC 13566 |ND|AN HOLLOW RD GRAFTON OH 11
MISC FA MFG,2010,43437450 JAMES BALOGH, INC 13566 INDIAN HOLLOW RD GRAFTON OH 3
MISC FA MFG,2011,43437450 JAMES BALOGH, INC 13566 INDIAN HOLLOW RD GRAFTON OH 6
MISC FA MFG,2012,43437450 JAMES BALOGH, INC 13566 INDIAN HOLLOW RD GRAFTON OH 6
PISTOL EXP,2002,43437450 BALOGH JAMES 13566 INDIAN HOLLOW RD GRAFTON OH 21
PISTOL EXP,2003,43437450 BALOGH JAMES 13566 INDIAN HOLLOW RD GRAFTON OH 12
PISTOL EXP,2005,43437450 BALOGH JAMES 13566 INDIAN HOLLOW GRAFTON OH 0 4 0 0 4
PISTOL EXP,2005,43437450 BALOGH JAMES 13566 |ND|AN HOLLOW RD GRAFTON OH 52
PISTOL EXP,2006,43437450 BALOGH JAMES 13566 INDIAN HOLLOW GRAFTON OH 0 2 0 0 2
PISTOL EXP,2006,43437450 BALOGH JAMES 13566 |ND|AN HOLLOW RD GRAFTON OH 171
PISTOL EXP,2007,43437450 JAMES BALOGH, INC 13566 |ND|AN HOLLOW RD GRAFTON OH 91
PISTOL EXP,2008,43437450 JAMES BALOGH, INC 13566 |ND|AN HOLLOW RD GRAFTON OH 90
PISTOL EXP,2009,43437450 JAMES BALOGH, INC 13566 |ND|AN HOLLOW RD GRAFTON OH 11
PISTOL EXP,2010,43437450 JAMES BALOGH, INC 13566 INDIAN HOLLOW RD GRAFTON OH 3
PISTOL EXP,2011,43437450 JAMES BALOGH, INC 13566 INDIAN HOLLOW RD GRAFTON OH 6
