MISC FA EXP,2003,60500107 TANURY INDUSTRIES 6 NEW ENGLAND WAY LINCOLN RI 6
MISC FA EXP,2010,60500107 TANURY INDUSTRIES 6 NEW ENGLAND WAY LINCOLN RI 112 0 0 0 0 0 112
MISC FA EXP,2011,60500107 TANURY INDUSTRIES, INC. 6 NEW ENGLAND WAY LINCOLN RI 92 0 0 0 0 0 92
MISC FA MFG,2003,60500107 TANURY INDUSTRIES 6 NEW ENGLAND WAY LINCOLN RI 6
MISC FA MFG,2010,60500107 TANURY INDUSTRIES 6 NEW ENGLAND WAY LINCOLN RI 112 0 0 0 0 0 112
MISC FA MFG,2011,60500107 TANURY INDUSTRIES, INC. 6 NEW ENGLAND WAY LINCOLN RI 92 0 0 0 0 0 92
PISTOL EXP,2003,60500107 TANURY INDUSTRIES 6 NEW ENGLAND WAY LINCOLN RI 6
PISTOL EXP,2010,60500107 TANURY INDUSTRIES 6 NEW ENGLAND WAY LINCOLN RI 112 0 0 0 0 0 112
PISTOL EXP,2011,60500107 TANURY INDUSTRIES, INC. 6 NEW ENGLAND WAY LINCOLN RI 92 0 0 0 0 0 92
PISTOL EXP,2013,60500107 TANURY INDUSTRIES, INC. 6 NEW ENGLAND WAY LINCOLN RI 1
PISTOL EXP,2013,60500107 TANURY INDUSTRIES, INC. 6 NEW ENGLAND WAY LINCOLN RI 7 0 0 0 187 2 196
PISTOL EXP,2014,60500107 TANURY INDUSTRIES, INC. 6 NEW ENGLAND WAY LINCOLN RI 1528 0 81 0 285 1894
PISTOL EXP,2015,60500107 TANU RY INDUSTRIES, INC. 6 NEW ENGLAND WAY LINCOLN RI 0 0 679 0 0 2 681
PISTOL EXP,2015,60500107 TANURY INDUSTRIES, INC. 6 NEW ENGLAND WAY LINCOLN RI 1391 0 0 0 32 953 2376
PISTOL EXP,2015,60500107 TANURY INDUSTRIES, INC. 6 NEW ENGLAND WAY LINCOLN RI 2
PISTOL EXP,2016,60500107 TANURY INDUSTRIES, INC. 6 NEW ENGLAND WAY LINCOLN RI 299
PISTOL EXP,2016,60500107 TANURY INDUSTRIES, INC. 6 NEW ENGLAND WAY LINCOLN RI 442 0 0 698 20 97 1257
PISTOLS MFG,2003,60500107 TANURY INDUSTRIES 6 NEW ENGLAND WAY LINCOLN RI 6
PISTOLS MFG,2010,60500107 TANURY INDUSTRIES 6 NEW ENGLAND WAY LINCOLN RI 112 0 0 0 0 0 112
PISTOLS MFG,2011,60500107 TANURY INDUSTRIES, INC. 6 NEW ENGLAND WAY LINCOLN RI 92 0 0 0 0 0 92
PISTOLS MFG,2013,60500107 TANURY INDUSTRIES, INC. 6 NEW ENGLAND WAY LINCOLN RI 1
PISTOLS MFG,2013,60500107 TANURY INDUSTRIES, INC. 6 NEW ENGLAND WAY LINCOLN RI 7 0 0 0 187 2 196
PISTOLS MFG,2014,60500107 TANURY INDUSTRIES, INC. 6 NEW ENGLAND WAY LINCOLN RI 1528 0 81 0 285 1894
PISTOLS MFG,2015,60500107 TANU RY INDUSTRIES, INC. 6 NEW ENGLAND WAY LINCOLN RI 0 0 679 0 0 2 681
PISTOLS MFG,2015,60500107 TANURY INDUSTRIES, INC. 6 NEW ENGLAND WAY LINCOLN RI 1391 0 0 0 32 953 2376
PISTOLS MFG,2015,60500107 TANURY INDUSTRIES, INC. 6 NEW ENGLAND WAY LINCOLN RI 2
PISTOLS MFG,2016,60500107 TANURY INDUSTRIES, INC. 6 NEW ENGLAND WAY LINCOLN RI 299
PISTOLS MFG,2016,60500107 TANURY INDUSTRIES, INC. 6 NEW ENGLAND WAY LINCOLN RI 442 0 0 698 20 97 1257
RIFLE EXP,2003,60500107 TANURY INDUSTRIES 6 NEW ENGLAND WAY LINCOLN RI 6
RIFLE EXP,2010,60500107 TANURY INDUSTRIES 6 NEW ENGLAND WAY LINCOLN RI 112 0 0 0 0 0 112
RIFLE EXP,2011,60500107 TANURY INDUSTRIES, INC. 6 NEW ENGLAND WAY LINCOLN RI 92 0 0 0 0 0 92
RIFLE EXP,2013,60500107 TANURY INDUSTRIES, INC. 6 NEW ENGLAND WAY LINCOLN RI 1
RIFLE EXP,2013,60500107 TANURY INDUSTRIES, INC. 6 NEW ENGLAND WAY LINCOLN RI 7 0 0 0 187 2 196
