MISC FA MFG,2015,60600763 STURM, RUGER & COMPANY, INC 1 LACEY PL SOUTHPORT CT 1
PISTOL EXP,2013,60600763 STU RM, RUGER & COMPANY, 1 LACEY PL SOUTHPORT CT 6 0 4 2 2 14
PISTOL EXP,2013,60600763 STURM, RUGER & COMPANY, INC 1 LACEY PL SOUTHPORT CT 25
PISTOL EXP,2013,60600763 STURM, RUGER & COMPANY, INC 1 LACEY PL SOUTHPORT CT 4
PISTOL EXP,2013,60600763 STURM, RUGER 8 COMPANY, 1 LACEY PL SOUTHPORT CT 6 0 4 1 3 4 18
PISTOL EXP,2014,60600763 STU RM, RUGER & COMPANY, 1 LACEY PL SOUTHPORT CT 20 0 21 10 56
PISTOL EXP,2014,60600763 STURM, RUGER & COMPANY, INC 1 LACEY PL SOUTHPORT CT 2
PISTOL EXP,2014,60600763 STURM, RUGER & COMPANY, INC 1 LACEY PL SOUTHPORT CT 73
PISTOL EXP,2014,60600763 STURM, RUGER 8 COMPANY, 1 LACEY PL SOUTHPORT CT 10 5 15 8 10 1 49
PISTOL EXP,2015,60600763 STU RM, RUGER & COMPANY, 1 LACEY PL SOUTHPORT CT 37 0 0 14 25 15 91
PISTOL EXP,2015,60600763 STURM, RUGER & COMPANY, INC 1 LACEY PL SOUTHPORT CT 1
PISTOL EXP,2015,60600763 STURM, RUGER & COMPANY, INC 1 LACEY PL SOUTHPORT CT 80
PISTOL EXP,2015,60600763 STURM, RUGER & COMPANY, INC 1 LACEY PL SOUTHPORT CT 9
PISTOL EXP,2015,60600763 STURM, RUGER 8 COMPANY, 1 LACEY PL SOUTHPORT CT 5 1 15 10 10 8 49
PISTOL EXP,2016,60600763 STU RM, RUGER & COMPANY, 1 LACEY PL SOUTHPORT CT 30 0 1 6 25 20 82
PISTOL EXP,2016,60600763 STURM, RUGER & COMPANY, INC 1 LACEY PL SOUTHPORT CT 3
PISTOL EXP,2016,60600763 STURM, RUGER & COMPANY, INC 1 LACEY PL SOUTHPORT CT 98
PISTOL EXP,2016,60600763 STURM, RUGER 8 COMPANY, 1 LACEY PL SOUTHPORT CT 5 18 12 14 10 65
