MISC FA EXP,2000,98614472 STURM RUGER & CO INC 200 RUGER RD PRESCOTT AZ 2047
MISC FA EXP,2000,98614472 STURM RUGER & CO INC 200 RUGER RD PRESCOTT AZ 210
MISC FA EXP,2000,98614472 STURM RUGER & CO INC 200 RUGER RD PRESCOTT AZ 4622
MISC FA EXP,2000,98614472 STURM RUGER & CO INC 200 RUGER RD PRESCOTT AZ 86429 0 0 0 94433 52736 233598
MISC FA EXP,2001,98614472 STURM RUGER & CO INC 200 RUGER RD PRESCOTT AZ 1434
MISC FA EXP,2001,98614472 STURM RUGER & CO INC 200 RUGER RD PRESCOTT AZ 1670
MISC FA EXP,2001,98614472 STURM RUGER & CO INC 200 RUGER RD PRESCOTT AZ 259
MISC FA EXP,2001,98614472 STURM RUGER 8 co INC 200 RUGER RD PRESCOTT AZ 40378 0 0 47815 24654 112847
MISC FA EXP,2002,98614472 STURM RUGER & CO INC 200 RUGER RD PRESCOTT AZ 107
MISC FA EXP,2002,98614472 STURM RUGER & CO INC 200 RUGER RD PRESCOTT AZ 1309
MISC FA EXP,2002,98614472 STURM RUGER & CO INC 200 RUGER RD PRESCOTT AZ 3305
MISC FA EXP,2002,98614472 STURM RUGER 8 co INC 200 RUGER RD PRESCOTT AZ 62340 0 0 0 21609 30921 114870
MISC FA EXP,2003,98614472 STURM, RUGER & CO INC 200 RUGER RD PRESCOTT AZ 1257
MISC FA EXP,2003,98614472 STURM, RUGER & CO INC 200 RUGER RD PRESCOTT AZ 1274
MISC FA EXP,2003,98614472 STURM, RUGER & CO INC 200 RUGER RD PRESCOTT AZ 80
MISC FA EXP,2003,98614472 STURM, RUGER 8 co INC :00 RUGER RD PRESCOTT AZ 62401 0 0 0 21888 14133 98422
MISC FA EXP,2004,98614472 STURM, RUGER & CO INC 200 RUGER RD PRESCOTT AZ 1172
MISC FA EXP,2004,98614472 STURM, RUGER & CO INC 200 RUGER RD PRESCOTT AZ 135
MISC FA EXP,2004,98614472 STURM, RUGER & CO INC 200 RUGER RD PRESCOTT AZ 2351 0 0 0 0 0 2351
MISC FA EXP,2004,98614472 STURM, RUGER 8 co INC 200 RUGER RD PRESCOTT AZ 45099 0 0 0 20475 33428 99002
MISC FA EXP,2005,98614472 STURM, RUGER & COMPANY, INC 200 RUGER RD PRESCOTT AZ 1927
MISC FA EXP,2005,98614472 STURM, RUGER & COMPANY, INC 200 RUGER RD PRESCOTT AZ 618
MISC FA EXP,2005,98614472 STURM, RUGER 8 COMPANY, INC 200 RUGER RD PRESCOTT AZ 51
MISC FA EXP,2005,98614472 mTéJRM, RUGER & COMPANY, :00 RUGER RD PRESCOTT AZ 59454 0 0 0 35410 30193 125057
MISC FA EXP,2006,98614472 STURM, RUGER & COMPANY, 200 RUGER RD PRESCOTT AZ 52157 0 0 0 22213 26606 100976
MISC FA EXP,2006,98614472 STURM, RUGER & COMPANY, INC 200 RUGER RD PRESCOTT AZ 2919
MISC FA EXP,2006,98614472 STURM, RUGER & COMPANY, INC 200 RUGER RD PRESCOTT AZ 35
MISC FA EXP,2006,98614472 STURM, RUGER & COMPANY, INC 200 RUGER RD PRESCOTT AZ 6
MISC FA EXP,2006,98614472 STURM, RUGER 8 COMPANY, 200 RUGER RD PRESCOTT Az 0 0 0 0 9463 0 9463
MISC FA EXP,2006,98614472 STURM, RUGER 8 COMPANY, INC 200 RUGER RD PRESCOTT Az 71
MISC FA EXP,2007,98614472 STURM, RUGER & COMPANY, 200 RUGER RD PRESCOTT AZ 0 0 0 0 2314 0 2314
MISC FA EXP,2007,98614472 STURM, RUGER & COMPANY, 200 RUGER RD PRESCOTT AZ 74477 0 0 0 44221 21565 140263
MISC FA EXP,2007,98614472 STURM, RUGER & COMPANY, INC 200 RUGER RD PRESCOTT AZ 2868
MISC FA EXP,2007,98614472 STURM, RUGER & COMPANY, INC 200 RUGER RD PRESCOTT AZ 65
MISC FA EXP,2008,98614472 STURM, RUGER & COMPANY, 200 RUGER RD PRESCOTT AZ 59628 0 0 83161 53772 14500 211061
MISC FA EXP,2008,98614472 STURM, RUGER & COMPANY, INC 200 RUGER RD PRESCOTT AZ 5129
MISC FA EXP,2008,98614472 STURM, RUGER & COMPANY, INC 200 RUGER RD PRESCOTT AZ 7
MISC FA EXP,2008,98614472 STURM, RUGER 8 COMPANY, INC 200 RUGER RD PRESCOTT Az 2
