MISC FA EXP,2000,98734724 ZDF IMPORTIEXPORT INC 2090 N REDWOOD RD #40 SALT LAKE CITY UT 586
MISC FA EXP,2001,98734724 ZDF IMPORTIEXPORT INC 2090 N REDWOOD RD #40 SALT LAKE CITY UT 232
MISC FA EXP,2002,98734724 ZDF IMPORTIEXPORT INC 2090 N REDWOOD RD #40 SALT LAKE CITY UT 267
MISC FA EXP,2003,98734724 ZDF IMPORTIEXPORT INC 2090 N REDWOOD RD #40 SALT LAKE CITY UT 3
MISC FA EXP,2004,98734724 ZDF IMPORTIEXPORT, LLC 2090 N REDWOOD RD #40 SALT LAKE CITY UT 234
MISC FA EXP,2005,98734724 ZDF IMPORTIEXPORT, LLC 2090 N REDWOOD RD #40 SALT LAKE CITY UT 12
MISC FA EXP,2006,98734724 ZDF IMPORTIEXPORT, LLC 2090 N REDWOOD RD #40 SALT LAKE CITY UT 515
MISC FA EXP,2007,98734724 ZDF IMPORT/EXPORT, LLC 2090 N REDWOOD RD #40 SALT LAKE CITY UT 70
MISC FA EXP,2007,98734724 ZDF IMPORT/EXPORT, LLC 2090 N REDWOOD RD #40 SALT LAKE CITY UT 918
MISC FA EXP,2008,98734724 ZDF IMPORTIEXPORT, LLC 2090 N REDWOOD RD #40 SALT LAKE CITY UT 90
MISC FA EXP,2008,98734724 ZDF IMPORTIEXPORT, LLC 2090 N REDWOOD RD #40 SALT LAKE CITY UT 959
MISC FA EXP,2009,98734724 ZDF IMPORTIEXPORT, LLC 2090 N REDWOOD RD #40 SALT LAKE CITY UT 1605
MISC FA EXP,2009,98734724 ZDF IMPORTIEXPORT, LLC 2090 N REDWOOD RD #40 SALT LAKE CITY UT 246
MISC FA EXP,2009,98734724 ZDF IMPORTIEXPORT, LLC 2090 N REDWOOD RD SALT LAKE CITY UT 15 0 7 0 0 0 22
MISC FA EXP,2010,98734724 ZDF IMPORT/EXPORT, LLC 925 W 100 N SUITE A NORTH SALT UT 0 14 21 0 0 0 35
MISC FA EXP,2010,98734724 ZDF IMPORT/EXPORT, LLC 925 W100 N SUITE A NORTH SALT LAKE UT 300
MISC FA EXP,2010,98734724 ZDF IMPORT/EXPORT, LLC 925 W100 N SUITE A NORTH SALT LAKE UT 606
MISC FA EXP,2011,98734724 ZDF IMPORT/EXPORT, LLC 925 W100 N SUITE A NORTH SALT LAKE UT 541
MISC FA EXP,2011,98734724 ZDF IMPORT/EXPORT, LLC :25RII7V100 N SUITE A NORTH SALT LAKE UT 342
