MISC FA EXP,2000,98835495 U S ORDNANCE INC 1469 GREG ST #A SPARKS NV 186
MISC FA EXP,2001,98835495 U S ORDNANCE INC 2500 VALLEY RD UNITS R, S, T RENO NV 175
MISC FA EXP,2002,98835495 U S ORDNANCE INC 2500 VALLEY RD UNITS R, S, T RENO NV 134
MISC FA EXP,2003,98835495 U S ORDNANCE INC 2500 VALLEY RD UNITS R, S, T RENO NV 58
MISC FA EXP,2004,98835495 U S ORDNANCE INC 2500 VALLEY RD UNITS R, S, T RENO NV 74
MISC FA EXP,2005,98835495 U S ORDNANCE INC 2500 VALLEY RD UNITS R, S, T RENO NV 61
MISC FA MFG,2000,98835495 U S ORDNANCE INC 1469 GREG ST #A SPARKS NV 186
MISC FA MFG,2001,98835495 U S ORDNANCE INC 2500 VALLEY RD UNITS R, S, T RENO NV 175
MISC FA MFG,2002,98835495 U S ORDNANCE INC 2500 VALLEY RD UNITS R, S, T RENO NV 134
MISC FA MFG,2003,98835495 U S ORDNANCE INC 2500 VALLEY RD UNITS R, S, T RENO NV 58
MISC FA MFG,2004,98835495 U S ORDNANCE INC 2500 VALLEY RD UNITS R, S, T RENO NV 74
MISC FA MFG,2005,98835495 U S ORDNANCE INC 2500 VALLEY RD UNITS R, S, T RENO NV 61
PISTOL EXP,2000,98835495 U S ORDNANCE INC 1469 GREG ST #A SPARKS NV 186
PISTOL EXP,2001,98835495 U S ORDNANCE INC 2500 VALLEY RD UNITS R, S, T RENO NV 175
PISTOL EXP,2002,98835495 U S ORDNANCE INC 2500 VALLEY RD UNITS R, S, T RENO NV 134
PISTOL EXP,2003,98835495 U S ORDNANCE INC 2500 VALLEY RD UNITS R, S, T RENO NV 58
PISTOL EXP,2004,98835495 U S ORDNANCE INC 2500 VALLEY RD UNITS R, S, T RENO NV 74
PISTOL EXP,2005,98835495 U S ORDNANCE INC 2500 VALLEY RD UNITS R, S, T RENO NV 61
PISTOLS MFG,2000,98835495 U S ORDNANCE INC 1469 GREG ST #A SPARKS NV 186
PISTOLS MFG,2001,98835495 U S ORDNANCE INC 2500 VALLEY RD UNITS R, S, T RENO NV 175
PISTOLS MFG,2002,98835495 U S ORDNANCE INC 2500 VALLEY RD UNITS R, S, T RENO NV 134
PISTOLS MFG,2003,98835495 U S ORDNANCE INC 2500 VALLEY RD UNITS R, S, T RENO NV 58
PISTOLS MFG,2004,98835495 U S ORDNANCE INC 2500 VALLEY RD UNITS R, S, T RENO NV 74
PISTOLS MFG,2005,98835495 U S ORDNANCE INC 2500 VALLEY RD UNITS R, S, T RENO NV 61
RIFLE EXP,2000,98835495 U S ORDNANCE INC 1469 GREG ST #A SPARKS NV 186
RIFLE EXP,2001,98835495 U S ORDNANCE INC 2500 VALLEY RD UNITS R, S, T RENO NV 175
RIFLE EXP,2002,98835495 U S ORDNANCE INC 2500 VALLEY RD UNITS R, S, T RENO NV 134
RIFLE EXP,2003,98835495 U S ORDNANCE INC 2500 VALLEY RD UNITS R, S, T RENO NV 58
RIFLE EXP,2004,98835495 U S ORDNANCE INC 2500 VALLEY RD UNITS R, S, T RENO NV 74
RIFLE EXP,2005,98835495 U S ORDNANCE INC 2500 VALLEY RD UNITS R, S, T RENO NV 61
RIFLE MFG,2000,98835495 U S ORDNANCE INC 1469 GREG ST #A SPARKS NV 186
RIFLE MFG,2001,98835495 U S ORDNANCE INC 2500 VALLEY RD UNITS R, S, T RENO NV 175
RIFLE MFG,2002,98835495 U S ORDNANCE INC 2500 VALLEY RD UNITS R, S, T RENO NV 134
RIFLE MFG,2003,98835495 U S ORDNANCE INC 2500 VALLEY RD UNITS R, S, T RENO NV 58
RIFLE MFG,2004,98835495 U S ORDNANCE INC 2500 VALLEY RD UNITS R, S, T RENO NV 74
RIFLE MFG,2005,98835495 U S ORDNANCE INC 2500 VALLEY RD UNITS R, S, T RENO NV 61
RVLR EXP,2000,98835495 U S ORDNANCE INC 1469 GREG ST #A SPARKS NV 186
RVLR EXP,2001,98835495 U S ORDNANCE INC 2500 VALLEY RD UNITS R, S, T RENO NV 175
RVLR EXP,2002,98835495 U S ORDNANCE INC 2500 VALLEY RD UNITS R, S, T RENO NV 134
RVLR EXP,2003,98835495 U S ORDNANCE INC 2500 VALLEY RD UNITS R, S, T RENO NV 58
RVLR EXP,2004,98835495 U S ORDNANCE INC 2500 VALLEY RD UNITS R, S, T RENO NV 74
RVLR EXP,2005,98835495 U S ORDNANCE INC 2500 VALLEY RD UNITS R, S, T RENO NV 61
RVLR MFG,2000,98835495 U S ORDNANCE INC 1469 GREG ST #A SPARKS NV 186
RVLR MFG,2001,98835495 U S ORDNANCE INC 2500 VALLEY RD UNITS R, S, T RENO NV 175
RVLR MFG,2002,98835495 U S ORDNANCE INC 2500 VALLEY RD UNITS R, S, T RENO NV 134
RVLR MFG,2003,98835495 U S ORDNANCE INC 2500 VALLEY RD UNITS R, S, T RENO NV 58
RVLR MFG,2004,98835495 U S ORDNANCE INC 2500 VALLEY RD UNITS R, S, T RENO NV 74
RVLR MFG,2005,98835495 U S ORDNANCE INC 2500 VALLEY RD UNITS R, S, T RENO NV 61
SHOTGUN EXP,2000,98835495 U S ORDNANCE INC 1469 GREG ST #A SPARKS NV 186
SHOTGUN EXP,2001,98835495 U S ORDNANCE INC 2500 VALLEY RD UNITS R, S, T RENO NV 175
