                                                       MISC. FIREARMS MANUFACTURED IN 2019 
  RDS KEY         LICENSE NAME                                   STREET                               CITY                        ST       MISC FA MFG 
  99202128       BOWMAN, FORREST WADE                            29 COLLEGE RD #8B-2                  FAIRBANKS                    AK               13 
  99203286       FAR NORTH GUN SUPPLY                            7650 BETHANY CIR                     ANCHORAGE                    AK               10 
  99202389       GOEDEN, CHAD J                                  2012 CASCADE CREEK RD                SITKA                        AK               30 
  99202570       SOLO SOLUTIONS LLC                              47160 LAWRENCE CT                    SOLDOTNA                     AK                2 
  16304982       BLACK ANKLE MUNITIONS LLC                       670 COUNTY ROAD 105                  SCOTTSBORO                   AL               10 
  16306442       CARRINGTON, MARION COLIN                        661 ALLIANCE RD                      BESSEMER                     AL                1 
  16307912       CHILDRESS, MICHAEL ANTHONY                      122 PLATEAU RD                       MONTEVALLO                   AL                6 
  16335030       HOPE, DAVID NICHOLAS                            901 GLAZE DR                         BESSEMER                     AL                5 
  16307697       MARKSMEN PRECISION LLC                          2182 SOUTH HICKORY STREET            FOLEY                        AL                1 
  16306976       MCMILLAN, ROBERT MALCOLM JR                     53911 CR 21                          STOCKTON                     AL              186 
  16304700       MHT DEFENSE LLC                                 1524 HENRY DAVIS ROAD                DELTA                        AL               22 
  16307016       QUALLS, CLAUDE ALLEN III                        12881 HWY 231 S                      TROY                         AL               10 
  16307888       RED PHOENIX DEFENSE LLC                         106 JUDSON CT                        PRATTVILLE                   AL                7 
  16305652       REMINGTON ARMS COMPANY LLC                      1816 REMINGTON CIRCLE SW             HUNTSVILLE                   AL            18910 
  16307883       ROCKET CITY GUN WORKS, LLC                      23884 WALES ST                       ELKMONT                      AL               15 
  16304529       ROSWAL ENTERPRISES LLC                          917 VENSON STREET                    WOODVILLE                    AL               49 
  16307788       THE ARMORY GUNS AND AMMO LLC                    2639 PELHAM PARKWAY                  PELHAM                       AL                9 
  57105524       4 B PRECISION RIFLES LLC                        16707 HWY 13 S                       HUMNOKE                      AR                4 
  57105889       6P, LLC                                         13565 W HWY 72 STE 10-11             HIWASSE                      AR               22 
  57105329       BISHAMON ARMS LLC                               683 MARION ANDERSON RD               HOT SPRINGS NATIONAL PARK    AR               25 
  57104512       FEDERAL ARMAMENT LLC                            5730 N 6TH ST                        FORT SMITH                   AR              614 
  57105333       FIREARMS 4 LESS LLC                             9 FOX CHAPEL CT                      LITTLE ROCK                  AR                2 
  57105502       J & J GUNSMITHING AND HYDROGRAPHICS             25174 HWY 71 N                       MANSFIELD                    AR                1 
  57104109       JC CUSTOMS LLC                                  9 N 37TH ST                          VAN BUREN                    AR                1 
  57105641       KINGS RIVER ARMORY LLC                          30490 HWY 295                        HINDSVILLE                   AR               29 
  57105663       MCINTOSH, MONTE WAYNE                           303 PHILLIPS RD 241                  LEXA                         AR                1 
  98600962       ABRAMS AIRBORNE MFG, INC                        3735 N ROMERO RD                     TUCSON                       AZ               64 
  98614583       ACMC 93 LLC                                     9743 E IMPALA AVE                    MESA                         AZ                3 
  98606864       ANKERT CUSTOMS LLC                              1760 N CHANNING                      MESA                         AZ                2 
  98602530       ARIZONA ARMORY, LLC                             2114 W FILLMORE                      PHOENIX                      AZ                1 
  98605029       BROWN, TIMOTHY DAVID                            14201 N GIBSON TRL                   TUCSON                       AZ               45 
  98609040       BURTON, ROBERT GORDON                           20215 W MORETON WAY                  WICKENBURG                   AZ                1 
  98605918       CRAZZY JOE'S LLC                                12110 W BENITO DR                    ARIZONA CITY                 AZ               65 
  98607195       D & E CUSTOMS AND ENGRAVING LLC                 2152 N BELLA VISTA LN                BENSON                       AZ                3 
  98605178       DISRUPTIVE PRODUCTS INC                         1683 W GRANT RD STE 102              TUCSON                       AZ               40 
  PREPARED BY FIREARMS AND EXPLOSIVES SERVICES DIVISION                                                                                             01/20/2021 
  BUREAU OF ALCOHOL, TOBACCO, FIREARMS AND EXPLOSIVES 
  MARTINSBURG, WV 
