RDS LIC, KEY NAME ,STREET ,CITY ,ST ,PSTL 22 ,PSTL 25 ,PSTL 32 ,PSTL 380 ,PSTL 9MM ,PSTL 50 ,PSTL TOTL 
16363645, ,201 IND PARKWAY ,GADSDEN ,AL ,2187 ,90 ,5031 ,6768 ,0 ,0 ,14076 
57134597, ,721 MAIN STREET ,LITTLE ROCK ,AR ,0 ,0 ,0 ,0 ,0 ,135 ,135 
57134716, ,2234 CR 719 ,BERRYVILLE ,AR ,2 ,0 ,0 ,2 ,14 ,918 ,936 
98637996, ,1070 METRIC DR ,LAKE HAVASU ,AZ ,0 ,594 ,0 ,0 ,0 ,0 ,594 
98637950, ,4340 EAST CANYON DR ,CAMP VERDE ,AZ ,0 ,0 ,0 ,0 ,9 ,0 ,9 
98636445, ,14390 N BOWMAN RD ,TUCSON ,AZ ,0 ,0 ,0 ,25 ,0 ,0 ,25 
98633332, ,15481 N TWIN LAKES DR ,TUCSON ,AZ ,6 ,0 ,12 ,4 ,0 ,0 ,22 
98636542, ,21438 N 7TH AVE SUITE B ,PHOENIX ,AZ ,0 ,0 ,0 ,0 ,0 ,2 ,2 
98614472, ,200 RUGER RD ,PRESCOTT ,AZ ,47203 ,0 ,0 ,0 ,76301 ,37554 ,161058 
93334014, ,380 CLINTON ST ,COSTA MESA ,CA ,6810 ,2108 ,2278 ,14614 ,40519 ,0 ,66329 
93322226, ,15150 SIERRA BONITA LN ,CHINO ,CA ,8537 ,360 ,4822 ,17947 ,1642 ,0 ,33308 
93340195, ,8652 MAGNOLIA AVE #6 ,SANTEE ,CA ,0 ,0 ,0 ,0 ,8 ,90 ,98 
93335296, ,1785 POMONA AVE #C ,CORONA ,CA ,0 ,253 ,0 ,0 ,0 ,0 ,253 
93340512, ,915 CALIMESA BLVD ,CALIMESA ,CA ,0 ,127 ,0 ,0 ,0 ,0 ,127 
99537286, ,5463 DIAZ ST ,IRWINDALE ,CA ,181 ,0 ,243 ,163 ,184 ,697 ,1468 
93340235, ,33171 CAMINO CAPISTRANO #A & B ,SAN JUAN CAP ,CA ,60 ,0 ,0 ,0 ,0 ,0 ,60 
99536620, ,2755 THOMPSON CREEK RD ,POMONA ,CA ,0 ,0 ,0 ,0 ,0 ,175 ,175 
99434360, ,83 21ST AVE ,SAN MATEO ,CA ,0 ,0 ,0 ,0 ,0 ,7 ,7 
93376484, ,3830 WACKER DR ,MIRA LOMA ,CA ,6659 ,9729 ,5016 ,32966 ,24880 ,0 ,79250 
