KEY ,LICENSE NAME ,STREET ,CITY ,ST ,PISTOL 22 ,PISTOL 25 ,PISTOL 32 ,PISTOL 380 ,PISTOL 9MM ,PISTOL 50 ,PISTOL TOTAL 
16303219 ,,312 LEE RD 553 ,PHENIX CITY ,AL ,5 ,0 ,0 ,0 ,0 ,0 ,5 
16337359 ,,17943 GROUND HOG RD ,ADGER ,AL ,3 ,0 ,0 ,0 ,0 ,0 ,3 
57100301 ,,115 COUNTY ROAD 546 ,MOUNTAIN HOME ,AR ,2 ,0 ,0 ,0 ,4 ,1 ,7 
57102795 ,,14625 HWY 71 SOUTH ,FORT SMITH ,AR ,0 ,0 ,1 ,0 ,0 ,0 ,1 
57101324 ,,171 MADISON 1510 ,HUNTSVILLE ,AR ,0 ,0 ,0 ,0 ,0 ,148 ,148 
57101188 ,NIGHTHAWK CUSTOM LLC ,1306 W TRIMBLE ,BERRYVILLE ,AR ,53 ,0 ,0 ,0 ,334 ,2263 ,2650 
57101940 ,RON PHILLIPS AND COMPANY LLC ,2133 CR 505 ,BERRYVILLE ,AR ,0 ,0 ,0 ,0 ,0 ,2 ,2 
57101116 ,VLH INC ,1105 INDUSTRIAL DR ,BERRYVILLE ,AR ,0 ,0 ,0 ,0 ,200 ,2011 ,2211 
57103401 ,,275 N RAINEY LN ,CAVE CITY ,AR ,0 ,1 ,0 ,0 ,0 ,0 ,1 
57134716 ,WILSONS GUN SHOP INC ,2234 CR 719 ,BERRYVILLE ,AR ,0 ,0 ,0 ,0 ,259 ,2871 ,3130 
98602515 ,AMERICAN SPIRIT ARMS LLC ,16001 N GREENWAY HAYDEN LOOP STE B ,SCOTTSDALE ,AZ ,0 ,10 ,0 ,0 ,36 ,0 ,46 
98603200 ,BAR-S MACHINE INC ,2575 N HWY 89 ,CHINO VALLEY ,AZ ,5 ,0 ,0 ,0 ,0 ,0 ,5 
98605897 ,BLACK RIFLE COMPANY LLC ,2010 HOLLY AVE STE 102-104 ,LAKE HAVASU CITY ,AZ ,0 ,1 ,0 ,0 ,0 ,0 ,1 
98604864 ,,3778 S PONDEROSA DR ,GILBERT ,AZ ,2 ,0 ,0 ,0 ,0 ,0 ,2 
98605586 ,C & S FIREARMS LLC ,38493 N REYNOSA DR ,SAN TAN VALLEY ,AZ ,0 ,0 ,0 ,0 ,1 ,0 ,1 
98603669 ,CACTUS ARMORY LLC ,5151 WEST ORAIBI DR ,GLENDALE ,AZ ,3 ,0 ,0 ,0 ,2 ,2 ,7 
98604187 ,CAMERONS CUSTOM INC ,5302 W ELECTRA LN ,GLENDALE ,AZ ,0 ,0 ,0 ,0 ,20 ,27 ,47 
98604430 ,D & L SPORTS INC ,118 N FIRESKY #B ,CHINO VALLEY ,AZ ,0 ,0 ,0 ,0 ,0 ,15 ,15 
98604682 ,DESERT FOX OUTFITTERS LLC ,835 AIRCLETA DRIVE ,WICKENBURG ,AZ ,0 ,0 ,10 ,0 ,0 ,0 ,10 
98605355 ,ELLIS FIREARMS LLC ,723 W FINNIE FLAT RD SPC-143 ,CAMP VERDE ,AZ ,0 ,0 ,0 ,0 ,0 ,1 ,1 
98601973 ,EXCEL MANUFACTURING INC ,2580 LANDON DR UNIT E ,BULLHEAD CITY ,AZ ,187 ,50 ,0 ,110 ,0 ,0 ,347 
98603062 ,,1304 RED BARON RD ,PAYSON ,AZ ,0 ,0 ,0 ,0 ,0 ,18 ,18 
98603536 ,PALESE PROTO TECH INC ,7775 N CASA GRANDE HWY #155 ,TUCSON ,AZ ,0 ,10 ,0 ,0 ,0 ,0 ,10 
98600788 ,PATRIOT ORDNANCE FACTORY INC ,23011 N 16TH LANE ,PHOENIX ,AZ ,62 ,0 ,0 ,11 ,0 ,0 ,73 
98604129 ,PREDATOR TACTICAL LLC ,2103 E CEDAR ST STE 3 ,TEMPE ,AZ ,0 ,0 ,0 ,0 ,10 ,19 ,29 
98603707 ,QUENTIN LASER LLC ,761 N MONTEREY ST STE 104 ,GILBERT ,AZ ,3 ,0 ,0 ,0 ,0 ,0 ,3 
98633332 ,R & R SPORTING ARMS INC ,15481 N TWIN LAKES DR ,TUCSON ,AZ ,2 ,0 ,6 ,0 ,0 ,0 ,8 
98603442 ,RDTS MANUFACTURING INC ,BIG SYCAMORE BLDG A 1ST FL ,CAVE CREEK ,AZ ,0 ,0 ,0 ,0 ,9 ,0 ,9 
98636542 ,,21438 N 7TH AVE SUITE ,PHOENIX ,AZ ,0 ,0 ,0 ,0 ,2 ,5 ,7 
