RDS KEY,LICENSE NAME,STREET,CITY,ST,RVLR EXP
98614472,"STURM, RUGER & COMPANY, INC",200 RUGER RD,PRESCOTT,AZ,65
60633345,COLT'S MANUFACTURING CO LLC,545 NEWPARK AVE,WEST HARTFORD,CT,34
15923596,TAURUS INTERNATIONAL MANUFACTURING INC,16175 NW 49TH AVE,MIAMI,FL,739
15840168,MEGGITT TRAINING SYSTEMS INC,296 BROGDON RD,SUWANEE,GA,13
60401684,SMITH & WESSON CORP,2100 ROOSEVELT AVE,SPRINGFIELD,MA,30220
85207699,BERETTA U S A CORPORATION,17601 BERETTA DR,ACCOKEEK,MD,11
34134781,MAGNUM RESEARCH INC,7110 UNIVERSITY AVE NE,MINNEAPOLIS,MN,41
60200735,"STURM, RUGER & COMPANY, INC",529 SUNAPEE ST,NEWPORT,NH,3015
61601384,"RON SUTPHIN & ASSOCIATES, LLC",200 RAILROAD ST,ROME,NY,4
61601079,CZ-USA INC,5169 RT 12 S,NORWICH,NY,2
43401572,LOCKHEED MARTIN MARITIME SYSTEMS & SENSORS,1210 MASSILLON ROAD,AKRON,OH,1
16201448,SABRE DEFENCE INDUSTRIES LLC,450 ALLIED DR,NASHVILLE,TN,7
98734026,NORTH AMERICAN ARMS INC,2150 S 950 E,PROVO,UT,459
60300370,CENTURY INTERNATIONAL ARMS INC,236 BRYCE BLVD,GEORGIA,VT,51
