RDS KEY,LICENSE NAME,STREET,CITY,ST,RVLR EXP
60635936,CHARCO 2000 INC,18 BREWSTER LANE,SHELTON,CT,385
60633345,COLT'S MANUFACTURING CO LLC,545 NEWPARK AVE,WEST HARTFORD,CT,34
15947645,BRAZTECH INTERNATIONAL LC,16175 NW 49TH AVE,MIAMI,FL,2
15923596,TAURUS INTERNATIONAL MANUFACTURING INC,16175 NW 49TH AVE,MIAMI,FL,1431
15840168,MEGGITT TRAINING SYSTEMS INC,296 BROGDON RD,SUWANEE,GA,6
60401684,SMITH & WESSON CORP,2100 ROOSEVELT AVE,SPRINGFIELD,MA,11421
34103314,MAGNUM RESEARCH INC,12602 33RD AVE SW,PILLAGER,MN,73
34136974,JP ENTERPRISES INC,15125 FRANCESCA AVENUE,HUGO,MN,729
60200735,"STURM, RUGER & COMPANY, INC",529 SUNAPEE ST,NEWPORT,NH,8771
43401651,OHIO ORDNANCE WORKS INC,305 AND 310 PARK DR,CHARDON,OH,6
98734026,NORTH AMERICAN ARMS INC,2150 S 950 E,PROVO,UT,363
