RDS KEY,LICENSE NAME,STREET,CITY,ST,SHOTGUN EXP
57134716,WILSONS GUN SHOP INC,2234 CR 719,BERRYVILLE,AR,1
15422338,HECKLER & KOCH INC,21480 PACIFIC BLVD,STERLING,VA,1
82333855,TAR HUNT CUSTOM RIFLES INC,101 DOGTOWN RD,BLOOMSBURG,PA,4
60433152,"SAVAGE ARMS, INC",100 SPRINGDALE RD,WESTFIELD,MA,7
33635798,SPRINGFIELD INC,420 W MAIN ST,GENESEO,IL,20
85207699,BERETTA U S A CORPORATION,17601 BERETTA DR,ACCOKEEK,MD,73
60201484,STURM RUGER & CO INC,411 SUNAPEE ST,NEWPORT,NH,109
60636056,US REPEATING ARMS COMPANY,344 WINCHESTER AVE,NEW HAVEN,CT,834
60400253,"H & R 1871, LLC",60 INDUSTRIAL ROWE,GARDNER,MA,5478
61635527,"REMINGTON ARMS CO, INC",14 HOEFLER AVE,ILION,NY,12465
60600773,O F MOSSBERG & SONS INC,7 GRASSO AVE,NORTH HAVEN,CT,12952
57434208,"MAVERICK ARMS, INC",INDUSTRIAL BLVD MAVERICK CO DEVLPT PARK,EAGLE PASS,TX,14230
