RDS KEY,LICENSE NAME,STREET,CITY,ST,SHOTGUN EXP
57101188,NIGHTHAWK CUSTOM LLC,1306 W TRIMBLE,BERRYVILLE,AR,11
57134716,WILSONS GUN SHOP INC,2234 CR 719,BERRYVILLE,AR,29
97737552,WEATHERBY INC,1605 COMMERCE WAY,PASO ROBLES,CA,3357
60600773,O F MOSSBERG & SONS INC,7 GRASSO AVE,NORTH HAVEN,CT,1
60601740,JKB DAIRA INC,345 WILSON AVE 3RD FLOOR,NORWALK,CT,1
15947645,BRAZTECH INTERNATIONAL LC,16175 NW 49TH AVE,MIAMI,FL,2826
15840168,MEGGITT TRAINING SYSTEMS INC,296 BROGDON RD,SUWANEE,GA,1
15802643,BP FIREARMS COMPANY LLC,1685 BOGGS ROAD SUITE 300,DULUTH,GA,1
60433152,"SAVAGE ARMS, INC",100 SPRINGDALE RD,WESTFIELD,MA,84
85234687,AIM INC,19200 MIDDLETOWN RD,PARKTON,MD,21
85207699,BERETTA U S A CORPORATION,17601 BERETTA DR,ACCOKEEK,MD,754
98800913,LEGACY SPORTS INTERNATIONAL LLC,4750 LONGLEY LN STE 207-210,RENO,NV,8
61600727,REMINGTON ARMS CO INC,14 HOEFLER AVE,ILION,NY,58
61602475,REMINGTON ARMS COMPANY LLC,14 HOEFLER AVE,ILION,NY,66
43401651,OHIO ORDNANCE WORKS INC,305 AND 310 PARK DR,CHARDON,OH,5
99302709,R & R RACING INC,45823 OAK ST,LYONS,OR,7
57404645,INT'L REPO DEPOT INC,26467 CLARK RD,WALLER,TX,1
57434208,"MAVERICK ARMS, INC",INDUSTRIAL BLVD MAVERICK CO DEVLPT PARK,EAGLE PASS,TX,47643
15409602,POLARIS DEVELOPMENT CORP,22650 EXECUTIVE DR STE 137,STERLING,VA,4
