Table
RDS KEY ,LICENSE NAME ,SIREET ,CITY ,ST ,MISC FA MFG
43810822 ,GREAT LAKES FIREARMS AND AMMUNITION LLC ,424 E DIVISION ,SPARTA ,MI ,30
43808413 ,GRID INTERNATIONAL SECURITY SOLUTIONS LLC ,38099 SCHOOLCRAFT SUITE 119 ,LIVONIA ,MI ,6
43809619 ,HARBINGER ARMS LLC ,1207 WHEATON AVE ,TROY ,MI ,2
43807837 ,J&D ARMAMENT LLC ,5921 HOLLOW CORNERS RD ,DRYDEN ,MI ,9
43805353 ,LOGAN ARMS LLC ,235 2ND STREET ,FERRYSBURG ,MI ,1
43804083 ,"MID MICHIGAN GUNS & GEAR, LLC ",13630 MAIN ST SUITE D ,BATH ,MI ,1
43810205 ,MOTOR CITY ARMORY LLC ,7194 BIG SKY DR STE 4 ,HOLLY ,MI ,4
43808216 ,NEXT LEVEL ARMAMENT LLC ,6778 18TH AVE ,JENISON ,MI ,237
43808716 ,RIFENBARK ARMORY LLC ,745 E NEWBERG RD ,PINCONNING ,MI ,10
43810091 ,SPEC ARMS LLC ,389 EAST DIVISION ,SPARTA ,MI ,61
43806132 ,WEBCO PRECISION MACHINING LLC ,15430 VAN TUYLE RD ,MANCHESTER ,MI ,1
34104185 ,ALEXANDRIA PRO FAB CO INC ,8210 STATE HWY 29 NORTH ,ALEXANDRIA ,MN ,410
34103554 ,ATOMIC TACTICAL INC ,8555 WEST 123RD ST STE 1 ,SAVAGE ,MN ,27
34104884 ,BARRELS AND ARROWS LLC ,3041 US HWY 59 ,MARSHALL ,MN ,1
34103165 ,DEER COUNTRY ARCHERY INC ,32981 COUNTY RD 24 ,STARBUCK ,MN ,115
34101144 ,"FLITSCH, RONALD EUGENE ",12156 COUNTY RD 31 NW ,PINE ISLAND ,MN ,2
34105106 ,"GROGAN, JODY DEAN ",21 VALHALLA RD ,SLAYTON ,MN ,28
34104167 ,ISLAND TOOL & DIE INC ,292 3RD STREET NE ,PINE ISLAND ,MN ,2
34101861 ,NODAK SPUD LLC ,7683 WASHINGTON AVE S ,EDINA ,MN ,409
34104145 ,PA ENTERPRISES ,3152 COUNTRY DR ,LITTLE CANADA ,MN ,39
34104159 ,SOTA ARMS INC ,39719 GRAND AVE ,NORTH BRANCH ,MN ,4061
54301691 ,ARNOLD DEFENSE AND ELECTRONICS LLC ,3000 ARNOLD TENBROOK RD ,ARNOLD ,MO ,32
54306127 ,BLACK RAIN ORDNANCE INC ,11633 IRIS ROAD ,NEOSHO ,MO ,2707
54307126 ,CHEROKEE FIREARMS LLC ,1500 W COLLEGE ,SPRINGFIELD ,MO ,35
54301610 ,CMMG INC ,2301 BOONSLICK DR ,BOONVILLE ,MO ,2250
54313774 ,FIVE DEZIGNS LLC ,2781 HIGHWAY 59 ,DIAMOND ,MO ,2
54312736 ,HENRY LEE'S GUNS AND AMMO LLC ,820 N WEST BYPASS ,SPRINGFIELD ,MO ,13
54314912 ,"HICKS, MARK ALLEN ",HC 3 BOX 151 H ,ELLSINORE ,MO ,4
54314740 ,JEBS ARMS LLC ,33768 W HWY U ,RAYVILLE ,MO ,2
54313086 ,M & J ENTERPRISES LLC ,1214 N OSAGE BLVD ,NEVADA ,MO ,4
54306091 ,PRECISION MACHINED PARTS INC ,845 E CENTRAL AVE ,NEVADA ,MO ,383
54314234 ,SHADOWFIRE DEFENSIVE SOLUTIONS LLC ,4335 CLEARBROOK LN ,IMPERIAL ,MO ,60
54313812 ,TERRY TACTICAL INC ,505 SW BONANZA DR ,LEES SUMMIT ,MO ,1
54340380 ,THE CUTTING EDGE PRECISION MACHINING SERVICES INC ,1150 PROGRESS ST ,MOUNT VERNON ,MO ,1626
16403789 ,"BRYANT'S MACHINE SHOP, INC ",5734 HWY 80 W ,JACKSON ,MS ,8


