Table
KEY ,LICENSE NAME ,STREET ,CITY ,ST ,PISTOLS
,WILSONS GUN SHOP INC ,2452 CR 719 ,BERRYVILLE ,AR ,153
,NIGHTHAWK CUSTOM LLC ,1306 WEST TRIMBLE AVE ,BERRYVILLE ,AR ,147
,BOBCAT WEAPONS INC ,2934 W WINDSOR AVE ,PHOENIX ,AZ ,1
,PATRIOT ORDNANCE FACTORY INC ,23011 N 16TH LANE ,PHOENIX ,AZ ,12
,SYNERGISTIC DIGITAL SOLUTIONS INC ,1545 KAIBAB N ,PRESCOTT ,AZ ,3
,EXETER GUNSLINGERS INC ,202 E MAPLE ST ,EXETER ,CA ,3
,FMK FIREARMS INCORPORATED ,1025 A ORTEGA WAY / 1005 ORTEGA WAY ,PLACENTIA ,CA ,77
,"WESTERN FIREARMS, INC ",6621 ATLANTIC AVE ,BELL ,CA ,1
,VOLKMANN PRECISION LLC ,11160 S DEER CREEK RD ,LITTLETON ,CO ,2
,COLT'S MANUFACTURING COMPANY LLC ,545 NEW PARK AVE ,WEST HARTFORD ,CT ,697
,KEL TEC CNC INDUSTRIES INC ,1475 COX ROAD ,COCOA ,FL ,761
,AEGIS TACTICAL LLC ,5103 LENA ROAD UNIT 113 ,BRADENTON ,FL ,4
,TAURUS INTERNATIONAL MANUFACTURING INC ,16175 NW 49TH AVE ,MIAMI ,FL ,343
,PERFORMANCE ARMAMENT CORP ,3130 SW 19 ST #461 ,PEMBROKE PARK ,FL ,1
,TACTICAL SUPERIORITY INC ,4011 DIGITAL LIGHT DRIVE SUITE 101 ,MELBOURNE ,FL ,5
,MEGGITT TRAINING SYSTEMS INC ,296 BROGDON RD ,SUWANEE ,GA ,41
,GLOCK INC ,6000 HIGHLANDS PKWY ,SMYRNA ,GA ,35529
,"MOORMAN, FRED A ",301 JEFFERSON ST ,MYSTIC ,IA ,2
,LES BAER CUSTOM INC ,1804 IOWA DR ,LE CLAIRE ,IA ,418
,V CUSTOM INC ,24276 240TH ST ,CARROLL ,IA ,10
,SEAMANS SUPREME SHOOTERS AND SURPLUS LLC ,3413 16TH ST ,LEWISTON ,ID ,
,PRIMARY WEAPONS SYSTEMS INC ,255 N. STEELHEAD WAY ,BOISE ,ID ,5
,LONE WOLF R&D LLC ,106 SHANNON LN STE B ,PRIEST RIVER ,ID ,12
,PRECISION SMALL ARMS INC ,16664 CHERRY CREEK CT ,JOLIET ,IL ,78
,"SAEILO, INC ",130 GODDARD MEMORIAL DR ,WORCESTER ,MA ,76
,SMITH & WESSON CORP ,2100 ROOSEVELT AVE ,SPRINGFIELD ,MA ,12084
,BERETTA U S A CORPORATION ,17601 BERETTA DR ,ACCOKEEK ,MD ,3636
,ALL AMERICAN MD LLC ,25506 PETAL CT ,MECHANICSVILLE ,MD ,1
,BK GUNS N STUFF LLC ,6255 POTTERS RD ,SARANAC ,MI ,51
,SHAMROCK SENTINEL CORP ,3520 MEADOW RIDGE ,HOWELL ,MI ,3
,MAGNUM RESEARCH INC ,12602 33RD AVE SW ,PILLAGER ,MN ,350
,"ED BROWN PRODUCTS, INC ",43825 MULDROW TRAIL ,PERRY ,MO ,68
,STURM RUGER & COMPANY INC ,271 CARDWELL RD ,MAYODAN ,NC ,986
,BEARING ARMS GUN & TACTICAL LLC ,109 ELK CREEK DR ,HUDSON ,NC ,15
,SIG SAUER INC ,72 PEASE BLVD ,NEWINGTON ,NH ,31342
,SIG SAUER INC ,12 & 18 INDUSTRIAL DR ,EXETER ,NH ,144
,"STURM, RUGER & COMPANY, INC ",529 SUNAPEE ST ,NEWPORT ,NH ,909


