RDS KEY ,LICENSE NAME ,STREET ,CITY ,ST ,PISTOL 22 ,PISTOL 25 ,PISTOL 32 ,PISTOL 380 ,PISTOL 9MM ,PISTOL 50 ,PISTOL TOTAL 
99202113 ,MAT-SU TACTICAL LLC ,,WASILLA ,AK ,0 ,0 ,1 ,0 ,0 ,0 ,1 
99201566 ,VALLEY ARMORY LLC ,1140 EAST ESTY CIR ,PALMER ,AK ,2 ,0 ,1 ,0 ,0 ,0 ,3 
99202469 ,,14135 DOC MCKINLEY AVE ,PALMER ,AK ,0 ,0 ,0 ,0 ,0 ,2 ,2 
16303219 ,,312 LEE RD 553 ,PHENIX CITY ,AL ,0 ,1 ,0 ,0 ,0 ,0 ,1 
16303111 ,,1157 PHILLIPS RD ,LANETT ,AL ,0 ,0 ,2 ,0 ,0 ,0 ,2 
16337359 ,,17943 GROUND HOG RD ,ADGER ,AL ,0 ,0 ,0 ,0 ,0 ,5 ,5 
16306258 ,GLOBAL AEROSPACE AND DEFENSE MANUFACTURING ,1002 DOUGLAS AVE ,0PP ,AL ,0 ,0 ,0 ,0 ,5 ,0 ,5 
16305652 ,REMINGTON ARMS COMPANY LLC ,1816 REMINGTON CIRCLE SW ,HUNTSVILLE ,AL ,0 ,0 ,0 ,17705 ,0 ,16715 ,34420 
57103023 ,A & B PAWN & JEWELRY INC ,2021 ALMA HIGHWAY ,VAN BUREN ,AR ,2 ,0 ,0 ,0 ,0 ,0 ,2 
57104726 ,ARKANSAS AR15 LLC ,1623 HIGHWAY 64 WEST ,EL PASO ,AR ,3 ,0 ,0 ,0 ,0 ,0 ,3 
57102051 ,,1223 HWY 412 W ,SILOAM SPRINGS ,AR ,2 ,0 ,0 ,0 ,0 ,0 ,2 
57104118 ,,34 HELEN DR ,LONOKE ,AR ,0 ,0 ,0 ,0 ,0 ,1 ,1 
57104490 ,,8041 HAPPY VALLEY DR ,CHESTER ,AR ,0 ,8 ,0 ,0 ,0 ,0 ,8 
57100301 ,,680 FISH AND FIDDLE ,MOUNTAIN HOME ,AR ,1 ,0 ,0 ,0 ,11 ,0 ,12 
57104512 ,FEDERAL ARMAMENT LLC ,5701 S 73RD PLACE ,FORT SMITH ,AR ,0 ,0 ,1 ,0 ,866 ,0 ,867 
57101324 ,,171 MADISON 1510 ,HUNTSVILLE ,AR ,0 ,0 ,0 ,0 ,55 ,233 ,288 
57104386 ,NIGHTHAWK CUSTOM LLC ,1306 WEST TRIMBLE AVE ,BERRYVILLE ,AR ,0 ,0 ,0 ,0 ,858 ,2164 ,3022 
57104537 ,P O ARMORY LLC ,182 DAKOTA TRL ,POCAHONTAS ,AR ,0 ,0 ,0 ,0 ,1 ,0 ,1 
57104282 ,PINEY CREEK ENTERPRISE LTD CO ,408 UNION ST ,DARDANELLE ,AR ,1 ,0 ,0 ,1 ,0 ,0 ,2 
57101116 ,VLH INC ,1105 INDUSTRIAL DR ,BERRYVILLE ,AR ,0 ,0 ,0 ,0 ,808 ,2152 ,2960 
57104667 ,WALTHER MANUFACTURING INC ,7700 CHAD COLLEY BLVD ,FORT SMITH ,AR ,0 ,0 ,0 ,91 ,0 ,0 ,91 
57103652 ,WILDMAN ARMS & OUTFITTERS INC ,26096 INTERSTATE 30 ,BRYANT ,AR ,1 ,0 ,0 ,0 ,0 ,0 ,1 
57134716 ,WILSONS GUN SHOP INC ,2452 CR 719 ,BERRYVILLE ,AR ,0 ,0 ,0 ,0 ,1262 ,3790 ,5052 
57103957 ,,209 PARADISE WAY ,BENTONVILLE ,AR ,0 ,0 ,1 ,0 ,0 ,0 ,1 
98608059 ,AMERICAN SPIRIT INVESTMENTS LLC ,16001 N GREENWAY HAYDEN LOOP STE B ,SCOTTSDALE ,AZ ,7 ,0 ,0 ,0 ,0 ,0 ,7 
98602530 ,,2114 W FILLMORE ,PHOENIX ,AZ ,0 ,2 ,0 ,0 ,0 ,0 ,2 
98600947 ,BOBCAT WEAPONS INC ,2934 W WINDSOR AVE ,PHOENIX ,AZ ,0 ,0 ,0 ,0 ,1 ,0 ,1 
98607475 ,CAMERONS LLC ,5302 W ELECTRA LN ,GLENDALE ,AZ ,0 ,0 ,0 ,0 ,5 ,10 ,15 
98605074 ,CATS ARMS LLC ,5118 E PIMA ST ,TUCSON ,AZ ,0 ,6 ,0 ,0 ,0 ,0 ,6 
