Table
RDS KEY ,LICENSE NAME ,STREET ,CITY ,ST ,RVLR 22 ,RVLR 32 ,RVLR 357 ,RVLR 38 ,RVLR 44 ,RVLR 50 ,RVLR TOTL 
57134716 ,WILSONS GUN SHOP INC ,2234 CR 719 ,BERRYVILLE ,AR ,O ,O ,17 ,O ,O ,0 ,17 
93340558 ,AMERICAN FRONTIER FIREARMS ,40725 BROOK TRAILS WAY ,AGUANGA ,CA ,O ,O ,O ,5 ,3 ,1 ,9 
60635936 ,CHARCO 2000 ,273 CANAL ST ,HUNTINGTON ,CT ,O ,O ,150 ,6069 ,1751 ,0 ,7970 
60633345 ,COLT'S MANUFACTURING CO INC ,545 NEWPARK AVE ,WEST HARTFORD ,CT ,O ,O ,813 ,386 ,1320 ,6424 ,8943 
60635732 ,UNITED STATES FIREARMS MANUFACTURING COMPANY ,55 VAN DYKE AVE ,HARTFORD ,CT ,O ,7 ,O ,49 ,49 ,589 ,694 
15900566 ,AWA INTERNATIONAL INC ,1450 SW 10 ST #3 B ,DELRAY BEACH ,FL ,O ,22 ,672 ,O ,203 ,2536 ,3433 
15941170 ,HERITAGE MFG INC ,4600 NW 135TH ST ,OPA LOCKA ,FL ,23830 ,O ,O ,O ,O ,O ,23830 
57233690 ,CLARK CUSTOM GUNS INC ,336 SHOOTOUT LN ,PRINCETON ,LA ,O ,O ,O ,2 ,O ,O ,2 
60410395 ,SMITH & WESSON CORP ,2100 ROOSEVELT AVE ,SPRINGFIELD ,MA ,8645 ,136 ,47895 ,50729 ,19639 ,3543 ,130587 
60201484 ,STURM RUGER & CO INC ,411 SUNAPEE ST ,NEWPORT ,NH ,19375 ,1422 ,31248 ,2099 ,23458 ,34511 ,112113 
61636016 ,NEW YORK INTERNATIONAL CORP ,119 KEMPER LN ,NORWICH ,NY ,39 ,11 ,152 ,O ,362 ,62 ,626 
34634039 ,D-MAX INC ,41428 - 15TH STREET ,SPRINGFIELD ,SD ,168 ,O ,O ,O ,O ,721 ,889 
16238654 ,LEINAD INC ,221 HWY 68 N ,DUCKTOWN ,TN ,O ,O ,O ,O ,O ,705 ,705 
16238596 ,MUNITIONS INTERNATIONAL LAB INC ,1345 B ENTERPRISE RD ,PINEY FLATS ,TN ,O ,O ,O ,O ,O ,504 ,504 
98734026 ,NORTH AMERICAN ARMS INC ,2150 S 950 E ,PROVO ,UT ,27326 ,O ,O ,O ,O ,O ,27326 
33937486 ,SUPER SIX LLC ,3806 W LISBON ,MILWAUKEE ,WI ,0 ,O ,O ,O ,O ,7 ,7 
58300047 ,CASULL ARMS CORP ,87681 HWY 89 ,AFTON ,WY ,64 ,O ,O ,O ,O ,0 ,64 
58303091 ,FREEDOM ARMS INC ,314 HWY 239 ,FREEDOM ,WY ,25 ,O ,70 ,O ,146 ,1000 ,1241 
,,,,,79472 ,1598 ,81017 ,59339 ,46931 ,50603 ,318960 


