Table
,,,,REVOLVERS ,
TO .22 ,,"189,785 ",,TO .22 ,"108,518 "
,,,,TO .32 ,"3,928 "
TO .32 ,,"43,471 ",,TO .357 MAG ,"59,591 "
TO .380 ,,"79,788 ",,TO .38 SPEC ,"57,078 "
TO 9MM ,,"219,668 ",,TO .44 MAG ,"46,533 "
,,,,TO .50 ,"33,716 "
TOTAL ,,"811,660 ",,TOTAL ,"309,364 "


Table
PISTOLS ,"16,340 ",
REVOLVERS ,"26,524 ",
RIFLES ,"62,522 ",
SHOTGUNS ,"29,537 ",
MISC. FIREARMS ,"6,989 ",


Table
PISTOLS ,
,
TO .25 ,"10,987 "
,
,
,
TO .50 ,"267,961 "
,
RIFLES ,"1,430,324 "
SHOTGUNS ,"726,078 "


