Table
STREET ,CITY ,ST ,REVOLVERS
545 NEWPARK AVE ,WEST HARTFORD ,CT ,13
445-453 LEDYARD ST ,HARTFORD ,CT ,1832
16175 NW 49TH AVE ,MIAMI ,FL ,377
2100 ROOSEVELT AVE ,SPRINGFIELD ,MA ,25122
17601 BERETTA DR ,ACCOKEEK ,MD ,111
411 SUNAPEE ST ,NEWPORT ,NH ,1781
2150 S 950 E ,PROVO ,UT ,35
,,,
,,,
,,,


Table
60633345 ,COLT'S MANUFACTURING CO LLC
60600482 ,US FIREARMS MFG CO
15923596 ,TAURUS INTERNATIONAL MANUFACTURING
60401684 ,SMITH & WESSON CORP
85207699 ,BERETTA USA U S A CORPORATION
60201484 ,"STURM, RUGER & COMPANY, INC "
98734026 ,NORTH AMERICAN ARMS INC


