Table
STREET ,CITY ,ST ,REVOLVERS 
545 NEWPARK AVE ,WEST HARTFORD ,CT ,98 
16175 NW 49TH AVE ,MIAMI ,FL ,418 
2100 ROOSEVELT AVE ,SPRINGFIELD ,MA ,27021 
529 SUNAPEE ST ,NEWPORT ,NH ,4053 
4750 LONGLEY LN STE 207-208 ,RENO ,NV ,8 
2150 S 950 E ,PROVO ,UT ,779 
,,,32377 


Table
60633345 ,COLT'S MANUFACTURING CO LLC 
15923596 ,TAURUS INTERNATIONAL MANUFACTURING 
60401684 ,SMITH & WESSON CORP 
60200735 ,"STURM, RUGER & COMPANY, INC "
98800913 ,LEGACY SPORTS INTERNATIONAL LLC 
98734026 ,NORTH AMERICAN ARMS INC 


