Table
ENTERPRISES LLC ,2880 HWY 44 ,PANORA ,IA ,4
,3090 NEEDHAM AVE ,LAKE VIEW ,IA ,6
LLC ,1430 EAST FLEMING AVE ,DES MOINES ,IA ,157
FARM LLC ,417 3RD ST ,LOW MOOR ,IA ,105
,3149 NEST AVE ,SHELDON ,IA ,12
N MORE LLC ,27659 290TH STREET ,PARKERSBURG ,IA ,8
INC ,1804 IOWA DR ,LE CLAIRE ,IA ,340
ENTERPRISE LLC ,417 EAST MAIN ST ,CENTRAL CITY ,IA ,2
"CREATIONS, LLC ",743 ADAMS AVE ,LISBON ,IA ,15
LLC ,1493 LANSING HARPERS RD ,LANSING ,IA ,24
,202 S HIGH ST ,MONTEZUMA ,IA ,2
TIMOTHY J ,305 NORTH GRANT AVE ,ELKHART ,IA ,1
W ,332 2ND ST ,MANNING ,IA ,23
INC ,836 WEAVER BLVD ,WAPELLO ,IA ,35
,24276 240TH ST ,CARROLL ,IA ,1306
LLC ,7545 S. EISENMAN RD ,BOISE ,ID ,60
INC. ,15670 N RANCH VALLEY RD ,RATHDRUM ,ID ,39
,357 YELLOW WOLF RD ,WHITE BIRD ,ID ,7
SHOP INC ,99 SARAGOSA RD ,BLANCHARD ,ID ,3
ADVANCED CONCEPTS LLC ,2165 S 1800 E ,GOODING ,ID ,19
,21218 BIG CANYON RD ,PECK ,ID ,2
MARIE ,1024 BRYDEN AVE SUITE 11-12 ,LEWISTON ,ID ,24
AMMUNITION TECHNOLOGIES ,LLC 15450 W FROST RD ,WORLEY ,ID ,1
LLC ,7103 OVERLAND ROAD UNIT S ,BOISE ,ID ,21
,410 NORTH 16TH ST ,COEUR D ALENE ,ID ,2
LLC ,18863 N FANTASY LOOP ,RATHDRUM ,ID ,1
RIFLES LLC ,1031 EVERETT AVE ,POCATELLO ,ID ,48
LLC ,272 TAILWIND CIR ,POCATELLO ,ID ,10
"SHOOTING RANGE, LLC ",2885 N TEGAN DR ,IDAHO FALLS ,ID ,6
T ,295 LODGEPOLE RD ,ATHOL ,ID ,1
LLC ,"719 N PRINCIPLE PLACE, SUITE 130 ",MERIDIAN ,ID ,27
SYSTEMS INC ,255 N. STEELHEAD WAY ,BOISE ,ID ,2103
IDAHO LLC ,350 N 3RD W ,RIGBY ,ID ,192


