Table
,LICENSE NAME ,STREET ,CITY ,ST ,RVLR 22 ,RVLR 32 ,RVLR 357 ,RVLR 38 ,RVLR 44 ,RVLR 50 ,RVLR TOTL 
,WILSONS GUN SHOP INC ,2234 CR 719 ,BERRYVILLE ,AR ,0 ,0 ,18 ,0 ,0 ,0 ,18 
,AMERICAN FRONTIER FIREARMS ,40725 BROOK TRAILS ,AGUANGA ,CA ,0 ,0 ,0 ,75 ,0 ,0 ,75 
,CHARCO 2000 ,WAY 273 CANAL ST ,HUNTINGTON ,CT ,0 ,0 ,0 ,3860 ,0 ,0 ,3860 
,COLT'S MANUFACTURING CO ,545 NEWPARK AVE ,WEST HARTFORD ,CT ,0 ,0 ,4253 ,1648 ,5033 ,6050 ,16984 
,INC HERITAGE MFG INC ,4600 NW 135TH ST ,OPA LOCKA ,FL ,29687 ,0 ,0 ,0 ,0 ,0 ,29687 
,H & R 1871 INC NEW ENGLAND ,60 INDUSTRIAL ROWE ,GARDNER ,MA ,2075 ,511 ,0 ,0 ,O ,0 ,2586 
,FIREARMS CO SMITH & WESSON CORP ,2100 ROOSEVELT AVE ,SPRINGFIELD ,MA ,7638 ,4059 ,55347 ,61284 ,22504 ,1892 ,152724 
,STURM RUGER & CO INC ,411 SUNAPEE ST ,NEWPORT ,NH ,12381 ,1274 ,26654 ,1305 ,28221 ,29020 ,98855 
,NEW YORK INTERNATIONAL ,119 KEMPER LN ,NORWICH ,NY ,12 ,0 ,11 ,0 ,112 ,18 ,153 
,"CORP RAPINE, ELLSWORTH D ",9503 LINDIS LN ,EAST GREENVILLE ,PA ,0 ,0 ,0 ,0 ,1 ,0 ,1 
,D-MAX INC ,41428 15TH STREET ,SPRINGFIELD ,SD ,69 ,0 ,0 ,2 ,0 ,728 ,799 
,LEINAD INC ,221 HWY 68 N ,DUCKTOWN ,TN ,0 ,0 ,0 ,0 ,0 ,4 ,4 
,MUNITIONS INTERNATIONAL LAB ,1345 B ENTERPRISE RD ,PINEY FLATS ,TN ,0 ,0 ,0 ,0 ,0 ,741 ,741 
,INC NORTH AMERICAN ARMS INC ,2150 S 950 E ,PROVO ,UT ,27892 ,0 ,0 ,0 ,O ,0 ,27892 
,CASULL ARMS CORPORATION ,456 FAIRVIEW RD ,AFTON ,WY ,367 ,0 ,0 ,0 ,0 ,O ,367 
,FREEDOM ARMS INC ,1 1/2 M E OF PO ,FREEDOM ,WY ,19 ,0 ,73 ,0 ,86 ,860 ,1038 


