Table
RDS KEY ,LICENSE NAME ,STREET ,City ,ST ,RIFLE EXP
98133799 ,POWDER RIVER RIFLE CO INC ,201 CENTENNIAL DR ,BIG TIMBER ,MT ,10
98155388 ,C SHARPS ARMS CO INC ,100 CENTENNIAL DR ,BIG TIMBER ,MT ,11
98100033 ,MONTANA RIFLE CO ,3172 HIGHWAY 35 ,KALISPELL ,MT ,46
15603121 ,,850 PUDDIN RIDGE RD ,MOYOCK ,NC ,100
60200452 ,,36 JENNEY RD ,MERIDEN ,NH ,46
60200735 ,,529 SUNAPEE ST ,NEWPORT ,NH ,21611
60200844 ,SIG SAUER INC ,18 INDUSTRIAL DR ,EXETER ,NH ,1342
60200897 ,THOMPSON CENTER ARMS CO INC ,400 NORTH MAIN STREET ,ROCHESTER ,NH ,264
98800913 ,LEGACY SPORTS INTERNATIONAL LLC ,4750 LONGLEY LN STE 207-208 ,RENO ,NV ,4757
61600727 ,REMINGTON ARMS CO INC ,14 HOEFLER AVE ,ILION ,NY ,116
61601384 ,,200 RAILROAD ST ,ROME ,NY ,1
61334276 ,KIMBER MFG INC ,1 LAWTON ST ,YONKERS ,NY ,890
61134915 ,ARGUS PUBLICATIONS INC ,110 8TH ST ,BROOKLYN ,NY ,4300
43437065 ,KELBLY'S RIFLE RANGE INC ,7222 DALTON FOX LAKE RD ,NORTH LAWRENCE ,0H ,131
99301001 ,NOVESKE RIFLEWORKS LLC ,,GRANTS PASS ,0R ,190
82502191 ,,300 CHESTNUT ST EXTENSION ,BRADFORD ,PA ,1020
82338992 ,,1325 SHELDON HILL ROAD ,SPRINGVILLE ,PA ,1
82502168 ,,156 BAKER RD ,DU BOIS ,PA ,1
82339132 ,KEYSTONE SPORTING ARMS INC ,8920 STATE ROUTE 405 ,MILTON ,PA ,581
82300479 ,PNEU DART INC ,15223 STATE ROUTE 87 ,WILLIAMSPORT ,PA ,75
34600103 ,,21593 PAHKAMAA ROAD ,DEADWOOD ,SD ,4
34600307 ,,1310 INDUSTRY RD ,STURGIS ,SD ,10
34633475 ,H S PRECISION INC ,1301 TURBINE DR ,RAPID CITY ,SD ,298
34600598 ,,1310 INDUSTRY RD ,STURGIS ,SD ,1
16236907 ,BARRETT FIREARMS MFG INC ,5926 MILLER LANE ,MURFREESBORO ,TN ,389
98734710 ,TDJ INC ,,GUNNISON ,UT ,153
98700554 ,,98 WEST 300 SOUTH - UNIT #25 ,MILLVILLE ,UT ,1
98734724 ,ZDF IMPORT/EXPORT LLC ,2090 N REDWOOD RD #40 ,SALT LAKE CITY ,UT ,70
60300370 ,CENTURY INTERNATIONAL ARMS INC ,236 BRYCE BLVD ,GEORGIA ,VT ,618
99114520 ,0LYMPIC ARMS INC ,624 OLD PACIFIC HWY SE ,0LYMPIA ,WA ,1
45500132 ,MELVIN FORBES ENTERPRISES LLC ,214 PRICE ST ,GRANVILLE ,WV ,40
58300517 ,BALLARD RIFLE & CARTRIDGE CO ,113 W YELLOWSTONE AVE ,CODY ,WY ,3


